beta[1],beta[2],beta[3],beta[4],sigma_beta,beta
0.06558345079120653,0.06952953177616787,0.07297954967617735,0.08285324981994185,0.007663847203173363,0.07025813878896778
0.06552721385833496,0.07015618120448297,0.07316296373565312,0.08099380443816374,0.012520272250779023,0.07084081688475252
0.0645398254128086,0.06970761225270615,0.07145830249562163,0.08196575862369633,0.012031749826743612,0.07060861193322884
0.06374537788682963,0.07000749154204312,0.07143838835664867,0.08032304258424748,0.011395364668184834,0.07085013740040823
0.06400984070605933,0.07043810970418789,0.0724578991720998,0.0801368024702743,0.004205252381010808,0.07092084065081981
0.06476289462709349,0.07083710975049771,0.07252111698610471,0.07984177279413117,0.005647395740056526,0.0704882210440969
0.06554532351991069,0.06912116336846327,0.0733976812484185,0.08286669533969393,0.00812818105974189,0.07009917162092455
0.06439437236624909,0.06989031380708799,0.07222604530226485,0.08276666555926113,0.020879721176171668,0.06993197652808864
0.06450965225257756,0.07014109299657903,0.07278945142683954,0.08080707033947879,0.015409829307240917,0.07015164890404894
0.0634584234500923,0.0690437676516085,0.07327939848204805,0.08555259140277378,0.00587011246920312,0.07014672019197522
0.06463443223924067,0.06963965739306116,0.07315926617804869,0.08632519786443417,0.014720424690271381,0.070241032063339
0.0664617926662664,0.07030782517700701,0.07215300522765855,0.0819566660014205,0.008673813920713444,0.07070699481939235
0.06684743131178372,0.06991032929475532,0.07253371269136433,0.08314196300371766,0.009648530617429953,0.07078377607446827
0.06393121823221994,0.06919017350710832,0.07289648482125195,0.07823326217615263,0.008227035394285598,0.07030386695984846
0.06430732922112589,0.06928979780000298,0.07315107081816474,0.07996758254199958,0.006020278760020671,0.07014208936678977
0.06636673186850509,0.07061309432947863,0.07181506423967823,0.08119542331769426,0.00812250956141833,0.07064232202828143
0.06423310622828103,0.06913836943739674,0.07342202292086489,0.08256718240130638,0.005045559131179579,0.07068126756883168
0.06436121734316787,0.07005615564518237,0.07169075969101339,0.08321624285695929,0.006318876851971206,0.07074057281997287
0.06617697840061013,0.06960380071519666,0.07359982210867737,0.07928890075043522,0.006444756200306599,0.07066808127120033
0.06442202482120192,0.07113874355132892,0.07372922288549892,0.0827607591013206,0.008459546534990793,0.07069680717547762
0.06651168714010407,0.07104416638024186,0.07255699107237412,0.08294929753243502,0.008572153312911283,0.07074030599540965
0.06605337533494214,0.06935940259473447,0.07285922520633413,0.08136155849475639,0.004984378696794348,0.07074030599540965
0.06511485957347676,0.06999468894862479,0.07264341891463745,0.08209130583803272,0.012349430722986185,0.07107686692271145
0.06465109724213239,0.06966329399811637,0.07348482969477381,0.07990271684630255,0.011915888367818475,0.07063331151614993
0.06586191864885776,0.07008837490551387,0.07277279569059406,0.08162911481525015,0.00567463963632669,0.07035141796103729
0.0653721511982942,0.07060017732325054,0.07327715886940667,0.08107335814890217,0.00664574954401775,0.07049499128888839
