beta[1],beta[2],beta[3],beta[4],sigma_beta,beta
0.056926604992244764,0.05317761977804387,0.05700736138077563,0.06804879926741354,0.008519817665757037,0.05721802911390358
0.05771426580576433,0.05330563857337157,0.05783165080096466,0.0648608769204794,0.004900002937314364,0.05752214334972078
0.05872720181396716,0.05320707838219987,0.05703139644369357,0.06687416476951684,0.013244424755911512,0.0577932243638343
0.0586288059930517,0.05371233734250316,0.056912155626138564,0.06722541806326518,0.01743324638516529,0.057449942391755514
0.057936547455533956,0.05416063207433288,0.05723865593050587,0.06692682503809234,0.01232415343427203,0.05709982851754105
0.058222508298402906,0.052241816463377465,0.057439851142790134,0.06761141939966282,0.004639857288578852,0.056222749221565824
0.05673113493305456,0.05361889398789627,0.05762231060265111,0.06586620193653804,0.013042786967253826,0.05681271782008979
0.05847003726675788,0.052540097122319024,0.05674517315614433,0.0672340379051215,0.005955486496621165,0.056992249617646
0.058527263485470014,0.053148711192019964,0.058046593966981995,0.0671045345221537,0.008480370251651779,0.05750959243868567
0.05683107796053335,0.05324841413268397,0.056500959155899554,0.06560638755797993,0.005874610732424915,0.05684346569585676
0.057620827300129844,0.054401204790146505,0.057443875309922426,0.06734569848859193,0.013431430645475617,0.05732544234437002
0.057665411573627215,0.05356185455088899,0.05722349479109447,0.0692272804434465,0.010042541181884237,0.05683561977577272
0.057369010926681875,0.052316099599322215,0.05671359513063611,0.06335744510379987,0.004664620717249132,0.05696637887191552
0.058213789326951024,0.054103647758569656,0.05739335744328561,0.06962854778016334,0.009637862510710572,0.05673932017479799
0.057401793268531974,0.05315459633303074,0.05621519996054858,0.06315148971363578,0.004820733210492473,0.057071058066702464
0.05783862068443973,0.053690618071705,0.05680844882924351,0.06820274371800127,0.011281314620616089,0.057187071485631326
0.057486743720444704,0.05260363831700723,0.05762124325837177,0.06621200993045771,0.00881291438943466,0.056834203785825876
0.0575947343666721,0.05357711154188664,0.05692000416984316,0.06704793035844375,0.0060760932237726075,0.05651880034679347
0.057089918083200485,0.05356005052165227,0.05666764931660187,0.06535737120452649,0.009078695933812645,0.05647003390124545
0.05818832795862235,0.05330967718144801,0.057826165860166145,0.06746412305278411,0.003489740200894238,0.05664138830997398
0.05818832795862235,0.05330967718144801,0.057826165860166145,0.06746412305278411,0.003489740200894238,0.05662039483505054
0.057219433540730634,0.0541847829479059,0.05682797409605779,0.06339420020297729,0.009404876436055377,0.05669105147255403
0.05880819231728541,0.053459686770158436,0.05718778501951297,0.06806592001473355,0.004367359728519225,0.05711374547774234
0.057668427390524406,0.05242777051037743,0.057373594141820444,0.06634603802635002,0.01694310787201126,0.05715494117308271
0.05777992062111461,0.05412923238136093,0.05664065943504633,0.06532737111088703,0.008286308809478992,0.05664972845203991
0.058310886390995485,0.054901356606331254,0.05641665048019432,0.06577528580734648,0.010882869523803147,0.05654961953074833
0.058133757544492175,0.05286647214453871,0.058094540821774635,0.06603745061553132,0.01014139114669784,0.0570119044645469
0.05768017440419923,0.05490777203552704,0.05730480243587241,0.06571000666410805,0.0028495392196169395,0.057044576317754926
0.05775427085505,0.05432946778879098,0.057497385375488944,0.06565654356572138,0.0035400566540859765,0.05709463525872927
0.05815833709571022,0.053914638132878175,0.05707207382051779,0.06511429750091867,0.007194894392936796,0.05702868971947552
0.05779195712106429,0.054730392352353156,0.05658870225195125,0.06500127490154615,0.0033661717263195824,0.05705457276662021
0.057631103613793505,0.0516945268350387,0.05762390188274203,0.06862373668150976,0.006885696168760053,0.05709217212798922
0.05747473312316972,0.05475967746905797,0.05666241513615942,0.06613390570350573,0.00915105794999839,0.05709217212798922
0.05779682240585738,0.05461209391579718,0.05689542066136935,0.06718615674296097,0.004546252397080074,0.057385014059627516
0.05770370206395915,0.05261812039970578,0.057588188996395,0.0664243826066112,0.008014895204541544,0.05698692863333812
0.05832011498422502,0.05240346217660102,0.05715284634167193,0.06599289869108091,0.00765179233165516,0.056819806934810466
0.05730209202141728,0.054210176478433195,0.05684491215021738,0.06651055087032863,0.004759754714470931,0.05692112088811129
0.05765025690780963,0.05320345630836413,0.05708658280293333,0.06594493418605399,0.003793756214578394,0.05668084507804042
0.057492352236159186,0.053208616987831865,0.056605482293391886,0.06613794771212435,0.00475452630941324,0.056823315425831016
0.057223850363316245,0.05373149989314545,0.0575022246969421,0.06662665661597082,0.0045725796404482945,0.05679044993821906
0.058368885803740646,0.05460079549825947,0.05752015587306527,0.06781971927271707,0.007719045355428251,0.05659096014366123
0.05805678333332041,0.05243246994975154,0.05731762395895286,0.06611843654704108,0.004610894489481343,0.057007712579034704
0.05774530516811765,0.05318738986787553,0.05724851655736161,0.06750793020788816,0.0075482093749961315,0.056571513327878145
0.05735839873885342,0.053217777024599566,0.05742738052898734,0.06593542582431679,0.0040504949980291775,0.056311275842746936
0.0577350057293374,0.05320244513125817,0.057057105743163535,0.06786204307276002,0.00686613604486805,0.05652985932779882
0.05843014574466853,0.05399013124099627,0.05703386690737041,0.06743317294510838,0.009380055191823049,0.05658063793417077
0.05809829278402809,0.05285446424658541,0.0576078941353557,0.06853127025287953,0.006685667696709233,0.05734977741374002
0.05755687863322154,0.05396821430191331,0.0569266382791028,0.06490079999289664,0.004764703474440543,0.057148090709792966
0.057920110247900655,0.05369963700239319,0.05782135759819654,0.06570033831998308,0.003458387568730159,0.0571653563779102
0.057579507233798316,0.053827444619011906,0.05739166894407727,0.06643766074943432,0.008119742940485099,0.0570712691451578
0.05762108921119343,0.052724020467132725,0.05675485437173046,0.06545226039411056,0.007392347315775071,0.05673440240871637
0.057777048652095535,0.052311785743227264,0.05769107055897876,0.06581903171545184,0.003804755792977764,0.05642663801673849
0.05906382030707981,0.05319949653918309,0.05714244270821885,0.06753896186614997,0.01057999116400542,0.05628511085687223
0.0561384430807987,0.05314552238008979,0.05719909497322771,0.06763497752786578,0.01229429892058053,0.056133115895143235
0.05809572468469094,0.05373574196647434,0.0572991391094088,0.06224473519481453,0.0030935159555980896,0.05662133201925946
0.05683415437904872,0.052901183779601395,0.0564702680964379,0.07099653991313422,0.01158691706271982,0.056709346881444606
0.05716461180706812,0.05248525380417748,0.05679455080692339,0.06833343049805386,0.011508307925662094,0.05678754341084937
0.056271155393655854,0.05248739143776767,0.058187200010034155,0.06982339554561201,0.007308393324741228,0.05666069939586389
0.05927181051766213,0.05343713360287771,0.05632015252104434,0.0639514742856773,0.005974699020568692,0.056597321842880494
