alpha[1],alpha[2],alpha[3],alpha[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_alpha,sigma_sigma,alpha,sigma
1.4153820313014895,1.4127072824412925,1.451668047583272,1.3483422513124899,19.26080829132545,20.506886144190975,19.482406280956596,16.362156368996235,0.20089413849419227,2.1302218805772757,1.4141344980377215,19.051738455572153
1.449708087880064,1.406351725974807,1.4696843924064484,1.3217851532603693,19.140284103749075,21.165023502955357,19.32601343529752,16.313191944753328,0.0390695253371859,1.4257443647957455,1.4089870490589336,18.974035501938346
1.4527941285684622,1.3805517441488724,1.4574524602961116,1.3562810343773255,19.20760653957765,20.74810355195979,19.446249236168576,16.357853940361675,0.12378895457163516,1.7663408577639277,1.4160756533896828,18.779866630388966
1.4431986476555885,1.385119439435419,1.4529757712626472,1.3519880000237838,19.294250886525038,20.860131067984824,19.391513818406597,16.721823438438733,0.12462322428386324,1.88218556408298,1.407894542178254,18.931515656737137
1.4514687033859113,1.4157875930165218,1.4513987323735635,1.351079413445919,19.231942029107802,20.79346784129529,19.492011331844598,16.167974809803187,0.05520336580354673,1.8376042326821351,1.4107722007142247,18.832116450898962
1.4368238923679832,1.3870038468763193,1.4527337405086453,1.3965426054270915,19.38529884791809,20.66061555932052,19.23596955107735,16.70234844242149,0.03305539261179175,1.2155088778792165,1.4223681365286593,18.989496474929695
1.442523506200618,1.4157328540385037,1.4564801247408752,1.3953378316528426,19.051157425065664,20.833181574876,19.616273796571388,16.64033071792016,0.047754406894086096,1.6602044508189473,1.4174243089835712,18.970947243271453
1.430224104850733,1.4046883645653903,1.4505803485148068,1.397481573173696,19.30535020777637,20.881245832055235,19.255623188600286,16.649897749522722,0.029884739726462228,1.2999046970669195,1.4164444512499523,19.03412101356399
1.4432205208415454,1.4025629339127725,1.4557242477105266,1.4053153895027692,19.16906796272167,20.7303446533927,19.509552348805652,16.76902794769754,0.051740674997548794,1.0677377279820959,1.4247142533266048,18.938900071079676
1.3975883947532741,1.4182548594810684,1.4526590191066413,1.4110268218790532,19.076319668717755,21.015521072880855,19.683484036411645,17.082930507080448,0.01940781455959293,1.9261440285834217,1.425615250859226,18.93478496541906
1.4283733141347188,1.4088164766662772,1.442101136079306,1.4063424951362684,18.974936009313886,20.631803915032776,19.323690798754583,16.376699814307898,0.02589494379939237,2.8129364409632323,1.4149356412351095,18.943905745449577
1.4254799351643979,1.4082305050521857,1.4574671118763316,1.3993176467829402,19.21015372181324,20.616602391021424,19.583684516795973,16.457941560966304,0.07295768636255798,2.9242590420014225,1.4040828097337785,18.866549227797616
1.4486047742675712,1.4175624226056174,1.4386087388354571,1.4157012342387125,19.10776320934556,20.823215191885637,19.276784360466166,16.77700965197895,0.04219742534492691,0.6454643277871714,1.418301478466118,18.85554881463176
1.417293206772218,1.3992269552486232,1.4561372352644861,1.4000462869533645,18.917303167780176,21.132486467776232,19.255797957877125,17.248044789327302,0.05520980674145857,1.4210041255146517,1.4212301395878673,18.971346400341737
1.4300542455239993,1.406790882052074,1.4570595246744846,1.4329759769137316,19.129728851308382,20.534263171917356,19.31157420801306,16.037496170516746,0.07122452076104933,0.9832406190095517,1.414653755697986,18.96372869271391
1.4323823861954108,1.4275896019614471,1.4476988441902061,1.3738296884369594,19.265775217761004,20.853124392151706,19.41930627815473,16.777459405613623,0.06971155842529118,1.7984973267009443,1.4237215349523689,18.953622325498284
1.4378137338902028,1.4260992679777347,1.4507916542379695,1.3766233148808,19.16237354465826,20.905066640366464,19.503963978776646,16.783838243578508,0.05181948443297858,1.8283235722573807,1.419080599151977,18.914235645896277
1.446227368712017,1.3813928283909402,1.4423510833707898,1.3996627586390713,19.15264621588953,20.721398387917596,19.526940981447524,16.193050851848657,0.03400061287616216,1.1415639693029753,1.4248972342199646,18.91736641393098
1.4396356803783252,1.4137890634570913,1.453173934100327,1.3931009223903295,19.118656661767908,21.032676479246295,19.461499608578784,16.611291756351605,0.03375556281595538,1.593826251984285,1.4249416092798082,18.979641406968597
1.4456319227671348,1.4080365497526683,1.4508634868052326,1.3887009421197785,19.01416053912029,20.664929440284897,19.359843393599338,16.550509018924487,0.023825132866751756,1.2605473012801662,1.4182491542036915,18.919591449766475
1.418434724566378,1.4126522666487527,1.4518492360875244,1.4076741196539415,19.393115407922185,20.535101492319985,19.566535959038507,16.554238294473524,0.02130528161980346,1.9354817683673446,1.4078114816690168,18.876205269665792
1.4210969728862384,1.3981901484990882,1.4537418848215866,1.4204523922187637,19.07556601474604,20.887984662300536,19.487129105682765,17.116973659360113,0.02660846693845502,1.1881023883525135,1.4049735484316308,18.828032299564146
1.4465718574358293,1.4207593084848484,1.4634078568911948,1.3425014494658514,19.203256683686643,20.787859316188086,19.439351607341873,16.086537576573015,0.08018118430912381,1.3193736303137509,1.4108469304925164,18.884482118294724
1.4287892145373344,1.38743728932318,1.451195570729811,1.4151646687037067,19.120587779289192,20.671488288070098,19.40415390242522,16.901107818085134,0.024652663308227324,1.3345392478990612,1.4162198192949405,18.847630194632465
1.423581355373132,1.4156469570261263,1.4621684224970155,1.377929399203108,19.070079612564076,20.795319523773735,19.371617135120616,16.226424064895777,0.0533185883482888,2.651364337611987,1.416004666837119,18.958643917469672
1.4400038641440223,1.396654022774724,1.4391294012512112,1.425061126521281,19.215267370321413,20.73688136578664,19.419788623212995,17.29719878017445,0.025195995221159884,0.9147821351404423,1.4069361011125476,18.978722539543373
1.4403014217490258,1.3982697098459882,1.445788519467976,1.4366795125038618,19.020652468444826,20.530729182606347,19.483098641247437,17.120443946596104,0.03410453469109681,1.3641365602823081,1.413761146855092,19.070575660760905
1.4214593452680861,1.4125424714146515,1.4515477332966902,1.3423238849374195,19.408260363721325,20.95160993255463,19.43010196497706,15.940192304486686,0.04394837053024609,1.1409236165611916,1.426204386705355,18.915335533208886
1.4285223028461989,1.4030717829351576,1.4612186303583814,1.3507012538209573,19.47771023269243,20.98810814150003,19.34979106996595,15.658378407715137,0.041951098325760196,0.9067392414824821,1.4193901714186812,18.999825016347025
1.4322500907021365,1.412708949151258,1.4668813829739502,1.3482030315148341,19.367802123918356,20.900280479221053,19.35224937196259,15.755413572124146,0.06200914305793215,1.0555983324248575,1.4239141018361403,18.952454309336662
1.455010611693869,1.3915444749516568,1.4561416443496802,1.4000540844420288,19.174808133581983,20.61718510810543,19.607927456945752,17.203844481360694,0.047753857549526185,2.4297766221619397,1.422413835262934,18.835905915549336
1.4615103051814593,1.402837802599708,1.4601706138334372,1.4177482264033365,19.196715739305596,20.63696500442415,19.559235767076135,17.12309954958361,0.06728306612639061,2.247262991780412,1.4231705892858428,18.84864880540138
1.4221001486061042,1.4065883967708135,1.4571315929971027,1.3858627829313583,19.283294129398445,20.928887799194182,19.322869376058833,16.25048027278728,0.0408749413550645,1.1575361539200137,1.4151660594811255,18.904867016327312
1.438901698774872,1.397792552325516,1.4611405130401298,1.4021660217723904,19.38378898759919,20.348233358331793,19.667509643826563,16.659532974397017,0.024137260002025037,1.2259829404618747,1.406901073944413,18.809102025535413
1.4322817546611546,1.4080699598995148,1.4364353878241822,1.3978911107267546,19.08779792708087,21.0334233473725,19.08369811639406,16.75021340724581,0.03138487949993742,1.1902940167720124,1.4090794785834788,18.780113279933197
1.4477600554923378,1.4219699318263674,1.4533469495129205,1.3631719903865456,18.99308910103213,21.15678585315913,19.5343717258061,16.563723732161286,0.02908369608052694,0.9335016448056621,1.407657907861479,18.82444700349038
1.4280123221194196,1.4255566607746486,1.4531559741946651,1.3871617227837463,19.008136409384615,20.903925127738113,19.53448751837032,16.373718147621435,0.052681420959801946,1.0214098740614352,1.4101868575477459,18.805832959596284
1.418185067236792,1.4188269725562863,1.4515281476802318,1.3891471859226387,19.109870064767243,20.777745775716834,19.357491289832165,16.753424357194035,0.03430250214947978,1.2834453773348335,1.4127606654926452,18.757732772299025
1.461971983862011,1.400841956048474,1.451394613120121,1.3799837621728006,19.175650718258364,20.716778287360814,19.463711771235996,16.50098410610537,0.03338172785668175,1.546495464814042,1.414308744109284,18.956314594638062
1.4410142756529032,1.409278229632699,1.4373154671001076,1.398082292738975,19.141007248026494,20.897247036208178,19.51887954017249,16.31911883112765,0.026289796619196042,1.1185759718198467,1.422154088900999,18.891687314212614
1.4403376179977176,1.4068515550120557,1.4560751179297773,1.3894877952350535,19.180672216540582,20.626059307800887,19.450471751819265,16.660773567514347,0.053256900871677976,1.7516861236869226,1.4196797274864115,18.881785373271054
1.4425352755849938,1.4036156104870592,1.440269490111476,1.3914877207517828,19.51133001102286,20.40914290202467,19.128126404107473,16.388540808285903,0.018940922805715712,1.621647622778961,1.414210909091605,18.858349492605456
1.4482310699232173,1.4091382337977116,1.4372486339967723,1.4093462162069932,19.181867248134175,20.90438173418154,19.020218441891135,16.964654697317826,0.027957922624285016,1.1153840029979178,1.4155967505905074,18.864168313599205
1.4209893232683344,1.3841401175952557,1.4436624553902002,1.4176279819663795,19.158048632851084,20.8352774349687,19.199281041813105,16.634662550653843,0.03441217417345843,1.4316884385657749,1.4090082940894546,18.93408812166978
1.461563929205278,1.4141061164560564,1.4605530316752418,1.3723997600130562,19.315451986789697,20.71861874409161,19.58850088892019,16.52923529969803,0.05082416496399559,1.413452133105886,1.4239650419399812,18.974727465063783
1.430834948355377,1.3999886814604532,1.4507634230417121,1.3786396510704337,19.164624992326228,20.6682103128296,19.273608176471036,16.220766921102665,0.02477090344228209,1.6640226058547687,1.413993555238709,18.92403426222336
1.433777129155683,1.409023262205901,1.4576607663938363,1.4060941182776407,19.016494295169416,20.616712796970997,19.536865395300754,16.987649857330652,0.034246183362261665,0.8774390794005431,1.423534574930782,18.879924381406365
1.4397229468107695,1.428599284631982,1.4674829421105924,1.403674870354849,19.51946375225129,21.052908650972668,19.537800571379734,16.65381025204175,0.030482909017146145,1.2634950259611084,1.4090774138142654,18.75079516013219
1.446198893808957,1.4117480570155794,1.4524488703700995,1.4146824302103296,19.20113523218587,20.703320242024386,19.07888170668291,16.558750282295005,0.03106617859616844,1.5800191863301773,1.4171696063162198,18.805305836110236
1.4449336261255175,1.4074879027092244,1.4517964180415308,1.4169554895172802,19.274898285513988,20.715771952662813,19.15722843478227,16.50168634080992,0.03239094342025297,1.6877231045465477,1.41796873313707,18.873071459483594
1.438243043957135,1.4160993517120541,1.4544981296095056,1.3819595573681518,19.09512721561851,21.252017587922158,19.433559368392245,17.290324322091283,0.03351394743105777,1.4016088523113972,1.4090820840941853,18.84147454712696
1.4247214249936213,1.4135775452292474,1.4541942693168977,1.406710710962969,19.261831990816983,20.79720198234391,19.603002000533753,16.60946867221793,0.10245471961828446,1.4038694859156406,1.4297556980279345,18.94614705339281
1.4459239739442602,1.390712895634209,1.458913262176856,1.378362762354796,19.37454584729244,20.670670840649404,19.521155931370615,16.35808959912994,0.04969627941380588,1.7561458161050834,1.4304638263506135,19.031039593145987
1.4265851502602294,1.404450368488766,1.4479400227801043,1.3859857330443182,18.952709605041026,20.66933432047081,19.24893844276022,16.592131667617057,0.026443021893255942,1.4340812780687333,1.4223663841507133,18.910755337514914
1.4305523769602175,1.4002674563841115,1.4513211307950993,1.4011995974267215,19.0284151879137,20.869292772175026,19.269914791107478,17.006541975585375,0.02360570256884325,0.6940979864532735,1.433507915702564,18.98526594515034
1.4337397001937406,1.4163661262161826,1.452763367095689,1.401757321711462,19.186756419254333,20.756031503628265,19.496244218988732,16.578297061817267,0.03168634062354163,2.158215144368888,1.4341440581009606,18.91131082273473
1.4415680023507986,1.3907355554113894,1.4552899906536485,1.3853284107044395,19.224516227994876,20.731970153355558,19.300500483528282,16.715409019549476,0.03072671930681153,1.4205874888429897,1.4319988802319614,18.9354754493787
1.4347596124970379,1.3847284875603372,1.4545816864130576,1.3700154010049408,19.172166662383137,20.815197023088352,19.32880668672489,16.835125156804132,0.02797597149497411,1.582141000508053,1.4119145242764461,19.085602094500793
1.4435693924049011,1.427906532768156,1.4507717642431202,1.4126511085336328,19.19619610284729,20.999059293382118,19.377861075286788,16.454776963778755,0.02299433453404788,1.401053187833413,1.4198823636090592,18.814273367050077
1.4162578464380289,1.3854450338927191,1.4424711758320252,1.38998272392002,18.986470013824576,20.528331646306434,19.271052712905288,16.839382780057488,0.019833898322287914,1.7825186972107976,1.4198823636090592,18.814273367050077
1.4267658025759877,1.408694014042896,1.4647266835463475,1.3980873992575618,18.929069278083563,20.60642839421464,19.440513871452218,16.124486567693268,0.09919303942965729,1.357413573923489,1.4198823636090592,18.814273367050077
1.430937727477485,1.409249879003965,1.4509006223914283,1.3782951015697125,19.16228890061932,20.79553787810387,19.35916719224801,17.0277180074345,0.022966780651214963,1.3541736509613997,1.4198823636090592,18.814273367050077
1.4331105709522711,1.4018828159901755,1.4589603304460337,1.4067747002617494,19.168587761134695,20.50198016901394,19.500666736151924,16.33235557152309,0.0398058360591004,0.9332676275690442,1.4132938710762013,18.902927338832264
1.4257387942343063,1.3916563609863337,1.4506591959044888,1.3468303395331689,18.98281638286629,20.81889175016342,19.288814482206785,16.727840810938222,0.044614169019107856,2.099183271778713,1.4152374974957345,18.879439305049846
1.443208096499881,1.4178405453418883,1.457804480253777,1.4310940636330078,19.328377107660483,20.657044311429665,19.57577483027488,16.592073255271718,0.030777558832386996,0.9252113087591526,1.4137474843057298,18.83052196519133
1.4360928087257963,1.4163298290203785,1.4621271985596518,1.4266450468008232,19.226262929786422,20.613856333223875,19.638019934665348,16.808275278725283,0.02839157817840911,0.8695835811987872,1.422012806154044,18.991548840893884
1.4432016558658896,1.3963496032267144,1.441309027237333,1.409764763255002,18.944131498306916,20.497922628803646,19.334063258207244,16.86633364666467,0.022629994081808314,1.2958485646804998,1.422012806154044,18.991548840893884
1.4239434603528882,1.4063288732496029,1.4547668053851703,1.3966366509296761,19.53735652570843,20.797713352930813,19.33592226930206,16.711985338090564,0.034943852857410904,2.2811588851840656,1.4143905274020192,18.903121858412124
1.4500190390428203,1.4225613446512402,1.454647964142621,1.397724659470719,19.07097218133456,20.91062544000697,19.564472761468874,16.406404365740865,0.02167456696870476,1.1161527208902253,1.4352125164722438,18.980401230531214
1.431343225987642,1.4180275423104332,1.4306992434240695,1.4087191675566892,19.29653023927553,20.815333285060355,19.339616878683476,16.31006857807716,0.01901521706358169,1.47698400987385,1.433121708160131,18.98021628603964
1.4231259797307005,1.4216747275227537,1.428326087075449,1.3967069772223517,19.29671359673457,20.998158603760697,19.3332774908419,16.36378831634841,0.013204988793940617,1.3129234334355335,1.4205784304932636,18.800417681622672
1.4332000910459741,1.4013597970277512,1.4404437949460165,1.4190486822475095,19.164214348212976,20.779433369824382,19.438390401077044,16.600465989839652,0.01105252522691108,1.3208343168509626,1.4110149082252101,18.885218141227803
1.4280036335920983,1.4182766929538875,1.4423950026540204,1.4053413209653671,19.098281209354138,20.888687760014413,19.3391688714302,16.106447956177544,0.014226611977243989,1.3649463320145379,1.428066350307306,19.171571712660967
1.4331916114528398,1.411361560488082,1.4385072327254358,1.4199590828013393,18.95205508188651,20.785724339735253,19.433461548671417,16.230415013037867,0.010148792715743087,1.797330027076584,1.427041060354289,19.130199490739457
1.4273296579878805,1.4151082386852458,1.4503812806496141,1.3796933763446584,19.382202301835488,21.023351549477105,19.232481119968604,16.849064419552942,0.052386131871266305,1.8146251190335827,1.4290421660749588,19.16677326421984
1.438023043146542,1.4099589843848974,1.4517663903730529,1.3954323993766342,19.153250273998342,20.5881446107918,19.5258791290734,16.463371586526964,0.03733295509220809,1.2782030425719153,1.4260256150642958,19.114712725646946
1.4397997630390875,1.415108018962498,1.4480580824262135,1.4057356402604533,19.228340778090423,20.752942565047924,19.397529076605288,17.174204611745942,0.015813073902493053,1.8668160442222954,1.423435521316829,19.07362768178094
1.429102288687007,1.3975985274884342,1.4449746819452525,1.3737245424163322,19.150265398062746,20.8430599783785,19.24204658707207,15.830086771942089,0.0636675289134622,1.242560945201069,1.4314787518396905,18.7947419356186
1.450275445487969,1.4217192744205847,1.4601475938834814,1.3400128326803487,19.303463558915677,20.887596042430644,19.5113811201259,16.65445784850224,0.07207483306787171,2.6445891160105837,1.4132630269031146,18.96470320446346
