alpha[1],alpha[2],alpha[3],alpha[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_alpha,sigma_sigma,alpha,sigma
1.0992945345751715,1.1856228779066145,1.8602812603571497,1.3153536584058176,12.03222884596511,11.60495468628718,9.888863040039217,8.400858705590178,0.2707756098204429,1.6551347966504315,1.2627334486652009,10.686106511773747
1.083064641299685,1.1495627554794023,1.8669126738406627,1.3535507048667395,12.096499192257497,11.261764291270563,9.853713235384635,8.836591482191398,0.5121933272017648,0.910857068679541,1.262351135685768,10.746577240307621
1.0955565162236067,1.1670267033065111,1.8466383837749034,1.3723930763311913,12.085786491010214,11.37007880742588,9.866761418322959,8.541256959369742,0.447233309811642,1.492547594486463,1.2585948844277486,10.72195611981066
1.0777575928488694,1.1461014561281868,1.874631262395514,1.3314802504472325,12.019862675848598,11.027027359990784,9.858347158553213,9.075018243743877,0.22357641262878053,2.237773376087972,1.2615415481628944,10.747303179781511
1.0777354927675211,1.1496023769406867,1.8724103320952297,1.3114853879170791,11.9515351707403,11.01116671572543,9.854536729079804,9.012254072138306,0.5008240963638761,2.050438854018947,1.2627649680672444,10.74412164050502
1.0971100781502068,1.1888530982808354,1.847302808443219,1.3078275143409481,12.366436674956098,11.776597756664675,9.9105291897161,8.236364982856916,0.3276061983894637,1.052742650221948,1.26593336846244,10.693143318829847
1.0898437586728174,1.1548345090781293,1.8828180098374254,1.311291899272581,11.848673112990856,11.078389883989539,9.884214306708198,8.707522931894388,0.3661882553920339,1.6710527615795352,1.2599901711537338,10.646496643911323
1.0864112942449329,1.1684050443716023,1.8779002650689691,1.3385436980130374,11.959566112108728,11.481913060244032,9.903352145571445,8.443336380798964,0.3700058779791756,1.4454351893931665,1.2652315642181122,10.73994721440671
1.0851943763020602,1.1677653880917471,1.8728616516953245,1.309580608248242,12.01707513995193,11.490726260498741,9.901389439437194,8.419509832323257,0.31197877179586214,1.746778803459045,1.261913510673011,10.71918186281836
1.0943867410078902,1.1780005002892084,1.8534965304306055,1.333624672051824,12.014116648802892,11.374407355812076,9.860789409387419,8.50505332915641,0.521370071020757,1.2089432701302805,1.261913510673011,10.71918186281836
1.0865699166197078,1.1704988236167766,1.8563480369987955,1.316547964099753,12.06991077406882,11.438366133839956,9.843233487265913,8.816244160914755,0.18656292816396053,0.8454795175915654,1.2652773170646985,10.773631577761169
1.093480800055994,1.1741712462152578,1.847293598403681,1.3428863700785936,12.166239601766206,11.289547942902018,9.84278845885218,8.350983825776595,0.8247235231162816,1.437846990584531,1.2673390861152043,10.764883698852758
1.097300817251846,1.1691803725951522,1.8513189698825339,1.3404607330858804,12.007953038099894,11.34222912900365,9.858844964191467,8.52994985183896,0.8330260262563421,1.8361007774150815,1.2687710947547268,10.763886831418857
1.0912589800437058,1.1799861903737552,1.873928805128915,1.31558539156999,12.018255261834884,11.389293052045184,9.896181928802719,8.755820110914673,0.22551617044834577,0.8786395967268057,1.2647193238076364,10.807773345424526
1.0977948869538954,1.163313071522607,1.8652033299854176,1.3308486762831429,12.157080623245863,11.270413438471625,9.84414871448972,8.552333163251294,0.47466918237573336,1.987166822941661,1.2658182658538835,10.675539570131313
1.0942327074381855,1.1788643911223347,1.8658485809213579,1.321156982404996,11.83770785880982,11.589715762663305,9.852011828276156,8.643414763735658,0.30437810570229135,0.8516941911277841,1.2559880382623898,10.769265988056052
1.0823160362502247,1.176161239675979,1.859258114123054,1.3581305575375293,11.784627236236384,11.380573164387874,9.847343535053495,8.665289683297312,0.24601332380004612,0.854209758476384,1.258482105499991,10.69038402015552
1.082672457611176,1.1900536845518572,1.843348693802716,1.3338856903622411,11.85561912834687,11.477496063466305,9.947978588751134,8.557243828257844,0.2558813486581151,0.6774107903307017,1.2638538244461635,10.724920518685293
1.0937638645564491,1.1764949988086466,1.8504622786164922,1.3645510362507398,12.001241198917578,11.307675676573494,9.84343163236134,8.636505410189647,0.37357427579249436,1.0010292223541057,1.2616985418467608,10.723541099644482
1.0914755473193227,1.1688665265230886,1.8431397172274087,1.2906028188267527,12.179905580051326,11.492757888846501,9.882550402191002,8.787757698152317,0.4326700187016645,1.1907794498490694,1.2640343063534567,10.711974777025045
1.1035084231686378,1.1788623388501642,1.8601917052486792,1.3615878977165183,12.030527127528693,11.561954080333386,9.912724587832253,8.381877124757976,0.7633479998259988,1.3630653382826607,1.2655664933929136,10.678330109497702
1.092063845099921,1.1619266675168098,1.8583620583866372,1.3085963723038472,11.928569031079409,11.337006047452643,9.93751874938748,8.531256268920872,0.23639007050463837,1.143384312476163,1.2653429527985516,10.722037830583599
1.0971155091324098,1.1682400984926165,1.8678233709838281,1.331720632110805,12.065130001829274,11.597363787521855,9.779453659954285,8.663402308618755,0.572443233223765,1.4719661465103178,1.2637794828751858,10.741022368984877
1.0974199774615818,1.1671356940974396,1.8633325792879798,1.3275166485124774,12.041344479137642,11.343516357405308,9.959673315924281,8.58071830201015,0.2889396509990279,1.2368831718306423,1.2547476696064888,10.683639104362078
1.0842281429003644,1.162782065045617,1.8853540079078241,1.3232927148102476,12.045957197570003,11.246821026200742,9.815480668100562,8.836006750516951,0.4582969921353884,1.2145459054972036,1.266138250358998,10.716592144134898
1.1040599244956355,1.1868062259681604,1.8598392922487044,1.3450769935606575,11.97976613369998,11.479364820566651,9.837414640486978,8.423766321437515,0.881121133525642,1.1629087217885477,1.2678869481641446,10.69893726669071
1.0816495011278922,1.161047575927671,1.8542717685641372,1.282469067499903,12.111167720574493,11.340520443160285,9.942821254751081,8.679898137303379,0.2064312634106519,1.6824831212611064,1.2544963359000116,10.721937726289063
1.0955125463567583,1.1538332629287962,1.8709779664545896,1.2693522677205158,12.111410788144319,11.398627273387989,9.92205126110957,8.515022460804797,0.620314492901215,1.2090360418896482,1.2677412955041276,10.740045617230804
1.0921856239228274,1.1821652353020957,1.8463582699945404,1.3351356426168584,12.050475226013786,11.358025937230815,9.822494480287963,8.531690389005231,0.29899236862351264,1.2269245108554545,1.2585641555613911,10.673023631243588
1.0918739835957239,1.1677514328361764,1.8673194195681755,1.2671510170472564,12.184228962501196,11.389314587762723,9.820294393318338,8.646299559978443,0.31119321193697586,1.2082763739176046,1.260478660039276,10.714271306983143
1.078402530677682,1.180939732557722,1.861740923481655,1.3685841925578657,12.136532654518344,11.337937851215502,9.943582787166116,8.684926604421355,0.38510084008754486,1.2837303539971552,1.2591012108610418,10.739834357830924
1.0929685060370862,1.1605466728190852,1.8514693783595402,1.2982864842392274,12.128815459449367,11.355872003486226,9.864364112801448,8.56490758342677,0.6327827965352367,1.0214920243641743,1.2573818540023207,10.573622167351491
1.0956373511909978,1.1728568243982118,1.8660540966538008,1.3681860207516674,11.896181593213077,11.530213034505227,9.91224688862673,8.735704579994493,0.2669589262238065,1.4777512461701745,1.2670254709128277,10.707709268905159
1.0822344536098025,1.1781479413316904,1.8606869990986035,1.3108493286549272,12.101142452014914,11.42096100488143,9.866475216710601,8.611885469915807,0.5573035725506752,1.15787426678165,1.264146404596603,10.676018572288816
1.095069537597705,1.1681196596082875,1.850779000251327,1.3340062252428533,11.913162887785802,11.46062687216582,9.867740704681255,8.607057834150272,0.23156526532324082,1.2162325887878211,1.265004808649501,10.68057595451617
1.089313915696953,1.168039479041763,1.8583014563719733,1.3424515492587463,11.972768474647916,11.216541892463816,9.855024287199972,8.536969623773755,0.42260588986647935,1.2402421505249903,1.2634345557058875,10.669048722809974
1.098205734393826,1.1793552801218752,1.859453715901646,1.3019018478883202,12.178142466273174,11.194923810094288,9.822983790891993,8.437870380735149,0.22746637696173622,0.9486540565405991,1.2664964578799214,10.654051894207427
1.0848279689693487,1.1814958769195214,1.874765309413406,1.3669177321131933,11.979644494569069,11.404915265962849,9.901309350264379,8.770659444964092,0.6022031774684112,1.542163854334542,1.2624966773667994,10.742753357785706
1.094290688451029,1.159805034513479,1.8423999264326651,1.292241652837877,12.034837960561116,11.416495303040438,9.842014665611435,8.476646075536504,0.2386111010789202,1.4217447046030718,1.2533714157253337,10.682649641464762
1.0957455825153863,1.1961206051107534,1.8532654839202136,1.2973270381649367,12.200734114691535,11.561034652550084,9.904528654484814,8.392157243948098,0.46045880472286177,1.0993498507433768,1.2688459592215195,10.71850854359768
1.0892315449722685,1.1500674492413303,1.8669941057001864,1.3682695759355765,11.93372627094616,11.19162424184666,9.892213286360397,8.899876291672761,0.2990563485674179,1.3977468228040384,1.2634319570577555,10.701968764839132
1.1004933154135363,1.1902654946985147,1.865178252368894,1.2735865162554303,12.125665005096932,11.636970305485807,9.865599157174525,8.680139073939142,0.4378629010834165,1.184467461974954,1.263177263254167,10.75760592148833
1.0932135066732909,1.1471503892843342,1.860957418389889,1.3887312093349953,11.936820989093397,11.239614925532594,9.889620466268818,8.623083338112561,0.2891175228789415,1.1579688928288325,1.267095386213638,10.72173895112797
1.0893392230575016,1.177099575499459,1.8675898727389098,1.3247258716279762,12.24069824004861,11.23998632905517,9.9165723781823,8.658890599165847,0.3439573719257761,1.4481610750363305,1.2566755352176515,10.746355766610344
1.0765067357146594,1.170026500642174,1.8626364142229443,1.329176606200049,12.030770623314398,11.476790857004143,9.836231029258887,8.750927245631305,0.3416145153652078,1.2310225952361202,1.2684685343908115,10.72767419117497
1.0851523721277945,1.1747516688261816,1.8485533206115032,1.3594199897606272,12.184729881911505,11.487995628587377,9.924431612447695,8.679560960192086,0.3693307831892769,1.0255702798356185,1.2635283563671966,10.769983776713094
1.0810248542065177,1.1611035627807866,1.8578946310994222,1.3382161957666734,11.706684830022889,11.557191870634671,9.865243739464278,8.561284165418138,0.563852747173241,1.6201602098535306,1.255055243577528,10.69570315617481
1.0868624906894526,1.1618046851056298,1.8677398659744144,1.3290538186362002,11.712053534145378,11.580419103940953,9.833802065987173,8.540241402897212,0.5423095061091675,1.760031865749586,1.2671571396759602,10.730461258034614
