stat,dist,best,wave_1,wave_2,wave_3,wave_4
mean,hosp_stay,Gen Lognormal,10.843918885260958,8.832255634439251,8.774564299513393,7.852424741547418
q975,hosp_stay,Gen Lognormal,10.9805865483633,8.932864646779185,8.859571996909477,8.013741566812755
q025,hosp_stay,Gen Lognormal,10.721015887728516,8.738019103593837,8.694178612165071,7.703711315449967
observed,hosp_stay,NA,10.745172300930472,8.561534628799203,8.404271789999648,7.344090470279961
var_mean,hosp_stay,Gen Lognormal,275.47644613019537,151.9695954164345,139.84514089787805,99.59893227662299
var_q975,hosp_stay,Gen Lognormal,277.16182970280494,152.91358704030748,141.26494279038144,103.35475549424916
var_q025,hosp_stay,Gen Lognormal,275.4336157973775,151.5909330075601,138.8287446308629,96.47362432384074
var_observed,hosp_stay,NA,221.4041517366535,117.52526598716032,86.40947010362073,56.14710265884848
mean,icu_stay,Gen Lognormal,16.200400012899348,15.399345302628157,14.411432134229237,12.400961040507005
q975,icu_stay,Gen Lognormal,16.51906516756985,15.670447538315019,14.609719146222671,13.113478042383761
q025,icu_stay,Gen Lognormal,15.9100555774099,15.163292943845248,14.249167976763248,11.900436288248814
observed,icu_stay,NA,14.788504155124654,13.749482972563078,13.24073815182441,11.622134387351778
var_mean,icu_stay,Gen Lognormal,648.8620687585369,546.7528908036531,424.586670002063,272.6792942156461
var_q975,icu_stay,Gen Lognormal,638.9311664050618,538.1961902047634,426.0980247881326,294.94629689953376
var_q025,icu_stay,Gen Lognormal,668.8858712993774,563.3740810959243,428.9349670078923,272.3072003403722
var_observed,icu_stay,NA,218.67738548897015,159.11525242155918,138.78845842748106,89.75583879521689
mean,onset_hosp,Gen Lognormal,7.41224784965696,7.950976383889824,7.773541504372108,5.54298635378981
q975,onset_hosp,Gen Lognormal,7.48328377901196,8.037649151187411,7.823986150825191,5.5735685975365366
q025,onset_hosp,Gen Lognormal,7.34559038632075,7.868575836473689,7.724601896924851,5.489710310598759
observed,onset_hosp,NA,6.936183967491688,7.359475731258991,7.087862490202967,4.778341329677861
var_mean,onset_hosp,Gen Lognormal,83.48002169122572,94.87956445942504,83.11916773327056,75.56455770499711
var_q975,onset_hosp,Gen Lognormal,84.62748465792355,96.35009196180954,83.88766086905991,78.13206535592195
var_q025,onset_hosp,Gen Lognormal,82.56637668959249,93.55874237511418,82.43856683737673,67.94206226498034
var_observed,onset_hosp,NA,53.65217299667854,34.21790373194776,19.958036730928384,15.572878794912135
mean,onset_icu,Gen Lognormal,12.31238639614275,10.83051214754636,9.16807938692345,7.836598756075708
q975,onset_icu,Gen Lognormal,12.382052350028218,11.007632045168084,9.272096378144866,8.171549860929675
q025,onset_icu,Gen Lognormal,12.220991165809115,10.678178622115464,9.066057134640706,7.547193441735841
observed,onset_icu,NA,11.106341362981263,10.208265582655827,8.255364511691884,7.326547921967769
var_mean,onset_icu,Gen Lognormal,491.75558388903147,260.289013662859,120.4563394189333,102.48591311234163
var_q975,onset_icu,Gen Lognormal,436.2539328087177,257.3319619515187,122.44962069840044,107.22360110064639
var_q025,onset_icu,Gen Lognormal,583.1247028475274,267.7137909009735,118.84329337775372,102.18315643057456
var_observed,onset_icu,NA,189.7077266933018,134.1719604010649,24.459923761475206,48.547775084925654
mean,onset_death,Gamma,17.419022473878897,18.748631952565578,17.4660894755505,14.873382944184756
q975,onset_death,Gamma,17.329731949155544,18.658286471375273,17.415173738690076,14.650375185670137
q025,onset_death,Gamma,17.49524308927829,18.844753577102985,17.514799184588345,15.028467530801382
observed,onset_death,NA,16.91604285923969,18.261264348124037,16.964399533618344,14.296208530805687
var_mean,onset_death,Gamma,148.8468093689864,169.86928802640028,143.9765075419037,109.71176544920885
var_q975,onset_death,Gamma,143.75042863913293,163.40771425705736,139.875966622705,102.19442134431321
var_q025,onset_death,Gamma,154.92658064976155,176.46939627354757,148.01704689758057,118.84682818048407
var_observed,onset_death,NA,175.34233360473942,224.1344365779834,173.36798002070873,151.93710476265392
