t,best,stat,mu[1],mu[2],mu[3],mu[4],sigma_mu,mu
icu_stay,Gen Lognormal,mean,10.6,10.6,10.2,9.1,1.7,10.4
icu_stay,Gen Lognormal,q975,10.8,10.8,10.3,9.5,6.6,10.5
icu_stay,Gen Lognormal,q025,10.3,10.4,10.1,8.6,1.0,10.3
hosp_stay,Gen Lognormal,mean,6.9,6.3,6.3,5.7,1.7,6.4
hosp_stay,Gen Lognormal,q975,6.9,6.3,6.4,5.8,6.3,6.4
hosp_stay,Gen Lognormal,q025,6.8,6.2,6.3,5.6,1.1,6.4
onset_icu,Gen Lognormal,mean,8.4,7.6,7.5,5.9,2.5,7.7
onset_icu,Gen Lognormal,q975,8.5,7.7,7.5,6.2,8.3,7.7
onset_icu,Gen Lognormal,q025,8.3,7.5,7.4,5.7,1.1,7.6
onset_hosp,Gen Lognormal,mean,5.8,6.2,6.4,4.5,2.6,6.0
onset_hosp,Gen Lognormal,q975,5.8,6.3,6.4,4.5,8.5,6.0
onset_hosp,Gen Lognormal,q025,5.7,6.2,6.3,4.5,1.1,5.9
onset_death,Gen Lognormal,mean,13.8,15.3,14.1,11.4,2.3,14.1
onset_death,Gen Lognormal,q975,14.1,15.6,14.3,11.8,8.0,14.2
onset_death,Gen Lognormal,q025,13.6,15.0,13.9,11.0,1.1,13.9
