beta[1],beta[2],beta[3],beta[4],sigma_beta,beta
0.09028380602191141,0.10864582629622625,0.11269121726936472,0.12633446279674265,0.015675554315086458,0.1058339265991507
0.08911785775020468,0.11114233110445555,0.1119111550679207,0.1279582444057352,0.019043854004599087,0.10556347971541724
0.08934670596249335,0.11031589779865558,0.11190102159497922,0.12501019996049026,0.020402876251490586,0.10596225601601048
0.08935201899667498,0.11048836726069021,0.11198184897921182,0.12779432919179415,0.017130719566728302,0.10604148315996972
0.08846743671763681,0.11005774186759616,0.11083259671862278,0.12617107938131286,0.011699669123408222,0.10566953271122968
0.08912034324653226,0.10929958535828267,0.11189695829086156,0.1264183612657003,0.017497471470540586,0.10530954016521801
0.08907184108380858,0.11121378586404759,0.11251259796082952,0.1243515423901586,0.02375062866870957,0.10576284681473007
0.08961651749073891,0.11136954696148244,0.11267135674813909,0.12492148917975945,0.022050544046720168,0.10576705911500338
0.08951439513158695,0.11015071768697735,0.11151463881308038,0.1287241889098398,0.011517734482161611,0.1057273941458968
0.09071090953969513,0.11037735620921,0.11260135667552695,0.12480809194600723,0.03028986273976141,0.10596587259660291
0.0883371264161196,0.11037625185849985,0.11257104456790977,0.12789764441028476,0.018494169567666387,0.10552453303854117
0.09098031148909723,0.11034715721771915,0.11236379091219827,0.12473791357776877,0.019927880046174563,0.10575134885843851
0.0901428134337282,0.11053911249761987,0.11098756495796633,0.13193986215731776,0.016020945283926714,0.1056601917971324
0.08941952166890348,0.11099044857312208,0.11341002446737539,0.12375841670516141,0.017505421373942228,0.10595334288551204
0.08944173893911159,0.11078362303665437,0.11359326339588872,0.12762684929231422,0.03332147154533244,0.10611651169385393
0.0905317206251984,0.11130195432178809,0.11237637719186967,0.12652877485790553,0.03284685148997543,0.10605083258613607
0.08860359309460658,0.11021457018504234,0.11222489965094633,0.12807854799651186,0.017454565774481373,0.1059199559318887
0.08852927005612837,0.11219786963830472,0.11230601799011194,0.12929936082250007,0.01583740533074321,0.10590343531900326
0.09042716619414953,0.11133684078373615,0.11270930476191682,0.1291144262702251,0.02042914369961581,0.10591892675296964
0.0897164785937451,0.11134694675724972,0.1115623795753285,0.12797652862698522,0.015173248201823647,0.10591892675296964
0.08887768350222217,0.11093218715359922,0.11277121193439728,0.12710037098954763,0.029743867128438458,0.105124521253698
0.0889512122611278,0.11090675043282212,0.11277503272105563,0.1286884783397702,0.03970775335843451,0.10515345188299241
0.08993293605114623,0.11039382552656123,0.11304968824816188,0.12670206118164262,0.04933486320457633,0.10508283327038707
0.08909272532689906,0.11164592000936088,0.11417209611036656,0.12832804645380355,0.02183622823908328,0.10508283327038707
0.0898733211492828,0.10955234070154661,0.11155423922158864,0.12626016604241033,0.025779111835486142,0.10478372305392822
0.09000996921395674,0.11008165594264872,0.1127615940558526,0.12824518123650075,0.011828190284835702,0.10486256838117523
0.089845895257802,0.11004071387871175,0.11153622619925163,0.12649625460749825,0.031534136434623404,0.10568571480586425
0.08885842019807978,0.10958868423187063,0.11200223731213246,0.12616294572163536,0.015155285071872809,0.10574359086226671
0.0889786100264899,0.11094457116134823,0.1128389437282061,0.12387292125745793,0.009706090342653175,0.1054487560555197
0.09103992244801751,0.11036754403571275,0.11235736420921934,0.12978992016905933,0.04088859695462095,0.10580359088390479
0.08800523107625963,0.10913030635412771,0.11189823503668608,0.12858586370564498,0.015653453371839036,0.1054593310281572
0.08851259754747715,0.11019850392994512,0.1117510064928336,0.12704086884977633,0.013746491957790683,0.10569513339521439
