alpha[1],alpha[2],alpha[3],alpha[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_alpha,sigma_sigma,alpha,sigma
1.4235858569075748,1.4124579018201333,1.4562376939032127,1.3859210248117682,19.351738804960434,20.518813179771236,19.338696635949944,16.7710686647181,0.02252267025728743,1.1052098951022422,1.4285558144921944,19.045533130214114
1.4324185263408962,1.4187269524263122,1.4485653328086117,1.4034354211452849,19.098878111936695,20.75013797696746,19.349920562536948,16.23210820574549,0.019453728250267928,1.5904905798655085,1.413670921020324,18.89329748095524
1.4416439921918633,1.4097165202425055,1.4617332849353004,1.4020096295946347,19.495338388892144,20.79753073003832,19.403480652617077,16.83502691046263,0.044956474755480653,1.3328828953911545,1.4243610987633852,19.056437397703817
1.415391837204127,1.417079409062422,1.4558223724839174,1.4059110519368943,19.385109399792203,20.49911597130424,19.355807745009812,16.58190951683287,0.016615959995652022,1.0591989940981703,1.4200687804953072,18.919492930694567
1.4386704296779385,1.4233366569259973,1.4616867216943157,1.3818806387417184,19.187721287135723,21.230626948101595,19.177971769623166,16.6044443721557,0.0645662201076599,1.5714588715258557,1.4137253030322585,18.771106180852733
1.4239475004986584,1.4051796098902494,1.4597153209790303,1.4155936496321053,19.322892264911783,20.21277313399051,19.57434000268867,16.169322631930093,0.02483242733927212,1.1923180138963503,1.4212588629179044,18.9210521033785
1.4425242255432889,1.4257653265190926,1.4543241235247104,1.3517746614044779,19.208212139743623,21.20375931782397,19.294651991621244,16.592140132069492,0.05424471910906313,1.5392840367159513,1.4295229418694533,18.953602095520097
1.439759543419297,1.4296532594362337,1.4562344446813655,1.347720769993188,19.180912521434358,21.11235532299593,19.33874594308523,16.735144226595303,0.036485648994817065,1.2992862056989152,1.4177446128490854,18.95467747447154
1.4351090571242193,1.4171446089427064,1.4512974437577397,1.4383783138039927,19.454754926788997,20.584430769218823,19.31942216779078,16.45707223780169,0.02108936113122809,1.4855227507607023,1.4210414787839525,18.921266834831425
1.4427263659945633,1.4138823691030673,1.446236274584972,1.377591327210552,19.225302219335916,20.851488279587066,19.230629589015518,16.71971405378715,0.11867495354213381,1.7956516533335714,1.4240946460171398,18.93576279630641
