alpha[1],alpha[2],alpha[3],alpha[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_alpha,sigma_sigma,alpha,sigma
1.3247217762380288,1.4814816020690933,1.8047021243419235,1.5607309817826678,8.18106582005481,8.757080592854448,8.567681999561357,6.0044705000123315,0.1394340906287554,0.9155125361594816,1.5085740796426053,8.257027993329663
1.3252734095764225,1.4959977589482814,1.8042239884897968,1.5500024039856484,8.156498972644455,8.729927325948221,8.570654921315256,6.0188295367664,0.13795903510632268,0.7946370920104269,1.501017897023658,8.266027261943991
1.3216511970036557,1.4829594736765406,1.7988981813734277,1.5414330896439032,8.178941401391873,8.695473149903135,8.548374896308019,5.952343362094422,0.25247091810962974,1.0735992061521464,1.5048647005990445,8.261781338242317
1.3283795844639603,1.510261811636761,1.8013494890663524,1.5362647341815872,8.2107074683905,8.822304999764194,8.569214150742058,5.8762875814099775,0.19547700103487128,0.8694817904387478,1.5072253684130232,8.284586832148975
1.3151336758823933,1.4776237579522158,1.8042232889724295,1.550622806592843,8.11894635826899,8.714185407001846,8.579541243493898,6.0067632330962315,0.24402483232307046,1.5406240776471172,1.5047703773647463,8.292810766708417
1.3221306934336028,1.5165796011745383,1.7941272411637295,1.5474693028235702,8.170443955084261,8.792265963164501,8.552032680413149,5.881924422243998,0.2434377692901521,0.8222475475244684,1.5040037953387346,8.238499352976289
1.317350566840289,1.4836756146186298,1.811139363372376,1.540982573852409,8.169363635622831,8.731663266445457,8.5863042734347,5.977791702863179,0.16801667919604826,1.521758403013285,1.507543056221142,8.304299281748516
1.3195945741272384,1.5142971667196266,1.7976731595261861,1.5443194296455736,8.201915958046182,8.791741497837714,8.524965794724816,5.902785145004868,0.4612301950868061,0.9090519801051469,1.5079756814378358,8.288635750209428
1.329072911050081,1.4800529687784174,1.8042515603503813,1.5547756922900324,8.175906126006346,8.722519055772056,8.595837101060647,5.993227333426787,0.09929937429383899,1.5169676607379485,1.513694804457885,8.285844805914962
1.3169169312304732,1.4832180855869395,1.807812704695952,1.550434529629439,8.122798962898722,8.716001023043864,8.593811875096112,5.99903939662676,0.13431218638858763,1.1059501470297606,1.5064671853095895,8.264240176328313
1.3204743114211646,1.498035441126666,1.8066860381523582,1.5500525798133058,8.129259639278455,8.760585666989956,8.56541165760724,5.870610608308009,0.14170672367331927,1.1261247300729689,1.5045973757001965,8.252845138100444
1.3246953797649177,1.4963195094279018,1.800637767611887,1.55389374764188,8.144192470574659,8.743889114073479,8.59094685245681,5.930120063417756,0.17329650116113915,1.6265819401342467,1.5097220196259191,8.24985686569243
1.3191223558464322,1.4993528036592534,1.7975697161590907,1.5346366241788258,8.173687331555586,8.790775352560406,8.591125318919403,5.917780715611435,0.2647401400868155,0.9453955124044324,1.5086007219589075,8.259086197309086
1.3270647086285614,1.5004825281244587,1.804998424160621,1.5504282920400565,8.187630321263992,8.778867166067462,8.536309009568928,5.938032984438072,0.3370266573310974,1.6604803876090528,1.5046162537407584,8.277614199108598
1.3289925044432038,1.5056962317348102,1.80171564991841,1.5498763962532267,8.190520294527706,8.767983446676974,8.5517885991239,5.98756986211146,0.2130799371042355,1.9180594338672388,1.5039047392798965,8.225085115875283
1.3151186487075235,1.494220291268648,1.8012136756232893,1.523268621236917,8.15625744751704,8.741168900057026,8.588437540493445,5.825434303998011,0.17871741512793204,0.8416083877618004,1.4960838048792438,8.223306325709892
1.324968883102217,1.4978021549344676,1.7997231181317257,1.5660438340076583,8.193916160729588,8.810148768961604,8.581026218353232,5.960924150078052,0.24104174115393537,1.9635627399653592,1.5007884805585665,8.199614698775214
1.3208473687976476,1.4877117340959307,1.8071493036141146,1.5249904866858457,8.121585825078657,8.737688556030115,8.564672830501342,5.907925586092034,0.18279505966304024,0.751111186488925,1.5090418512167358,8.290036418951772
