alpha[1],alpha[2],alpha[3],alpha[4],beta[1],beta[2],beta[3],beta[4],sigma_alpha,sigma_beta,alpha,beta
1.4980830768666131,1.593288491726344,2.9516972426589883,1.9395385141317583,0.13055421502442713,0.1499807119847672,0.33607909672723246,0.2446453043288272,0.7030813871781644,0.18583657398306846,1.8840543924619892,0.1880336074498889
1.4873780412457507,1.6011374636682894,2.920307465221141,1.9391006903910857,0.1271305868294315,0.14844177528753605,0.3322495193370545,0.25437002759668764,0.5018008279433448,0.3882697739058129,1.9116331513171727,0.19160478571083434
1.4670953644768943,1.5956577466157014,2.90599580397085,1.9537565864325157,0.12640880742248675,0.1505908751821572,0.33031188949352663,0.24374031794889636,0.5308108421266651,0.15522953678057988,1.9166189281025066,0.19100284687735772
1.4619501334631357,1.616261512301994,2.9257794031551523,1.9536767954656482,0.12743712657845138,0.1508623286174979,0.3349273897759069,0.24652951781205515,0.4725083014636475,0.11156836721362594,1.9187921289339394,0.19077897131468513
1.4950910559399055,1.5418362133135597,2.9810606283903733,1.8922971022023374,0.12989734474629827,0.14359453215766635,0.3398421170148045,0.23962873895495498,0.8720133239159641,0.12069400378860767,1.9100609626736316,0.19001675408830418
1.4998749746198092,1.5470575508359066,2.974105489322298,1.9139908000914314,0.12972361823499218,0.14236584717290826,0.34073243332511016,0.24503297897042783,1.0288174956919487,0.11871117231858973,1.9086379470837551,0.19057910544611015
1.5074759095327186,1.5963341294307152,2.9346838329200144,2.0022340027150642,0.13069559045245033,0.15124101848165,0.3355576328097876,0.26110027888373405,0.7979932894289572,0.09303800686502396,1.8999009726769691,0.19050013029271531
1.5197560494092444,1.5992308555297226,2.9711024531626404,2.1047825040537944,0.13135326346232487,0.14797215107839848,0.3388969309717591,0.26763686343993975,0.7848404021662267,0.10300904202718209,1.8938766998151115,0.1888913165294587
1.4832310662679156,1.5782019864719958,2.9274021064476905,1.9681088877985053,0.1269107565082462,0.14727634182150678,0.333953955342446,0.25234618321290825,0.557559220358654,0.2593082823395941,1.8745543937898255,0.18772327667322514
1.4467313536154893,1.5713652366315038,3.057373196349914,1.856672617729873,0.12451955134059454,0.1465026997247041,0.3508264817756115,0.24021710057321247,0.8161044917954959,0.07758390792880766,1.890786659838428,0.1883757987727947
1.460114374758694,1.5558233983229994,2.936691461111246,1.8748615115644092,0.12604670902757964,0.14496237773550077,0.33566732603675736,0.24610238008445584,0.4690742022448443,0.14408302921861957,1.8920933299149811,0.18841527417598242
1.4813003017859914,1.5667657799618584,2.9663582759513925,1.9120886892724414,0.12738575129336527,0.1461914095225052,0.33849564873079424,0.24023499527889747,0.5404452416238734,0.1432873655795718,1.8967960546209939,0.1899014265296766
1.4584584815389736,1.5756068928491733,2.9692571959420113,1.852391578516145,0.12603244980243436,0.14666780630048887,0.3422077084399279,0.22913028048703388,0.6569358376756518,0.07355650005742054,1.9070691341363684,0.1905881176211146
1.4945580347226826,1.5794584865506875,2.944834312742945,1.875167911008136,0.1278151424746623,0.1482368524848758,0.33876839277860893,0.24436181211075006,0.8970570419687335,0.1403965055364325,1.9050506009784889,0.19066280026830035
1.4712929627849856,1.5786564334690993,2.978861426726493,1.9265564979509147,0.12756883607214337,0.14905149963138628,0.33786821424220786,0.24966846821032607,1.039562663344573,0.12326035025313856,1.8780750950291605,0.18847174483567133
1.4988215369625697,1.5837994292619397,2.969829664081536,1.9775291275146407,0.1285997846230588,0.14709888279325714,0.34189512710470127,0.24705140342194562,1.2484655445066675,0.1222824444511299,1.8870120658161962,0.18779041789848205
1.4625540605679457,1.6128509042134649,2.9131181515298854,2.0423432127889236,0.12617259212474097,0.1502540392666129,0.3338396457352453,0.2542939183876952,0.6508623469919493,0.20344565873144774,1.8863619643654697,0.18911959142583082
1.4880232155518591,1.5783610619777915,2.911808921923054,1.8309499315855378,0.1275774168884297,0.1476170912227691,0.3336745068347065,0.2332801268724065,0.4264758096692928,0.10862468122525715,1.8957458996480574,0.19022049224934742
1.475749014174466,1.6084642954114505,3.017379021086032,1.8524584109029694,0.12730619041806587,0.15080252009973577,0.343378072978111,0.2377316993584556,0.8875626541571736,0.11280236384273777,1.899196540565654,0.18927932510136816
1.4690171747201948,1.6183784129216936,2.9167403675026775,1.896241074110841,0.12671413488038888,0.1519430648856699,0.33458121989010114,0.24534365775260414,0.4673562659676202,0.09456766281712356,1.8988654616821217,0.19056219581535863
