week,variant,stat,theta,Alpha,Delta,Gamma,Mu,Omicron,Other,weekly_count_variants
0,Alpha,mean,0.3222622147693785,2.0,0.0,4.0,6.0,0.0,5.0,12.0
0,Alpha,q025,0.18859887804866235,2.0,0.0,4.0,6.0,0.0,5.0,12.0
0,Alpha,q975,0.49014686874024466,2.0,0.0,4.0,6.0,0.0,5.0,12.0
1,Alpha,mean,0.21881322157498403,3.0,0.0,4.0,4.0,0.0,15.0,11.0
1,Alpha,q025,0.13642400278569505,3.0,0.0,4.0,4.0,0.0,15.0,11.0
1,Alpha,q975,0.3220596942602155,3.0,0.0,4.0,4.0,0.0,15.0,11.0
2,Alpha,mean,0.140890175082775,6.0,0.0,17.0,23.0,0.0,21.0,46.0
2,Alpha,q025,0.09376092162149414,6.0,0.0,17.0,23.0,0.0,21.0,46.0
2,Alpha,q975,0.20243315926729855,6.0,0.0,17.0,23.0,0.0,21.0,46.0
3,Alpha,mean,0.0877051684656387,10.0,0.0,10.0,36.0,0.0,10.0,56.0
3,Alpha,q025,0.056054428527690894,10.0,0.0,10.0,36.0,0.0,10.0,56.0
3,Alpha,q975,0.12655232588041498,10.0,0.0,10.0,36.0,0.0,10.0,56.0
4,Alpha,mean,0.05361888060942328,1.0,0.0,15.0,33.0,0.0,12.0,49.0
4,Alpha,q025,0.030622774514882177,1.0,0.0,15.0,33.0,0.0,12.0,49.0
4,Alpha,q975,0.08300085749942973,1.0,0.0,15.0,33.0,0.0,12.0,49.0
5,Alpha,mean,0.03252568049097597,0.0,0.0,11.0,31.0,0.0,9.0,42.0
5,Alpha,q025,0.015569867977639448,0.0,0.0,11.0,31.0,0.0,9.0,42.0
5,Alpha,q975,0.05498680910354177,0.0,0.0,11.0,31.0,0.0,9.0,42.0
6,Alpha,mean,0.019696415771999546,0.0,0.0,6.0,10.0,0.0,0.0,16.0
6,Alpha,q025,0.007588429378056493,0.0,0.0,6.0,10.0,0.0,0.0,16.0
6,Alpha,q975,0.03710732787521464,0.0,0.0,6.0,10.0,0.0,0.0,16.0
7,Alpha,mean,0.01194745414267346,0.0,1.0,11.0,26.0,0.0,15.0,38.0
7,Alpha,q025,0.0035905924504471324,0.0,1.0,11.0,26.0,0.0,15.0,38.0
7,Alpha,q975,0.025460496680855985,0.0,1.0,11.0,26.0,0.0,15.0,38.0
8,Alpha,mean,0.007272512381154873,0.0,1.0,8.0,11.0,0.0,7.0,20.0
8,Alpha,q025,0.001668045414828625,0.0,1.0,8.0,11.0,0.0,7.0,20.0
8,Alpha,q975,0.017247955001549492,0.0,1.0,8.0,11.0,0.0,7.0,20.0
9,Alpha,mean,0.004446441416861277,1.0,0.0,5.0,11.0,0.0,2.0,17.0
9,Alpha,q025,0.0007673170173620326,1.0,0.0,5.0,11.0,0.0,2.0,17.0
9,Alpha,q975,0.011841062561373362,1.0,0.0,5.0,11.0,0.0,2.0,17.0
10,Alpha,mean,0.002731619443984248,0.0,0.0,10.0,26.0,0.0,1.0,36.0
10,Alpha,q025,0.0003543499598446075,0.0,0.0,10.0,26.0,0.0,1.0,36.0
10,Alpha,q975,0.008032976643036788,0.0,0.0,10.0,26.0,0.0,1.0,36.0
11,Alpha,mean,0.0016862105148613329,0.0,0.0,1.0,14.0,0.0,1.0,15.0
11,Alpha,q025,0.00016426867043100248,0.0,0.0,1.0,14.0,0.0,1.0,15.0
11,Alpha,q975,0.005512208361941583,0.0,0.0,1.0,14.0,0.0,1.0,15.0
12,Alpha,mean,0.001045615617005794,0.0,0.0,4.0,20.0,0.0,2.0,24.0
12,Alpha,q025,7.570543491083824e-05,0.0,0.0,4.0,20.0,0.0,2.0,24.0
12,Alpha,q975,0.0038154136330047508,0.0,0.0,4.0,20.0,0.0,2.0,24.0
13,Alpha,mean,0.0006509890155242904,0.0,0.0,5.0,20.0,0.0,1.0,25.0
13,Alpha,q025,3.447793433555345e-05,0.0,0.0,5.0,20.0,0.0,1.0,25.0
13,Alpha,q975,0.0026083357555325374,0.0,0.0,5.0,20.0,0.0,1.0,25.0
14,Alpha,mean,0.000406597504945261,0.0,1.0,10.0,57.0,0.0,1.0,68.0
14,Alpha,q025,1.5539869232807922e-05,0.0,1.0,10.0,57.0,0.0,1.0,68.0
14,Alpha,q975,0.0017880007162407383,0.0,1.0,10.0,57.0,0.0,1.0,68.0
15,Alpha,mean,0.00025447197591772465,0.0,2.0,9.0,102.0,0.0,3.0,113.0
15,Alpha,q025,6.8724163051980446e-06,0.0,2.0,9.0,102.0,0.0,3.0,113.0
15,Alpha,q975,0.0011886718216364666,0.0,2.0,9.0,102.0,0.0,3.0,113.0
16,Alpha,mean,0.00015933025019285638,0.0,8.0,15.0,124.0,0.0,4.0,147.0
16,Alpha,q025,3.0540010103308498e-06,0.0,8.0,15.0,124.0,0.0,4.0,147.0
16,Alpha,q975,0.0008013249117498391,0.0,8.0,15.0,124.0,0.0,4.0,147.0
17,Alpha,mean,9.958414043580033e-05,0.0,7.0,7.0,122.0,0.0,10.0,136.0
17,Alpha,q025,1.3571834836943479e-06,0.0,7.0,7.0,122.0,0.0,10.0,136.0
17,Alpha,q975,0.000535853668713125,0.0,7.0,7.0,122.0,0.0,10.0,136.0
18,Alpha,mean,6.195346080139907e-05,0.0,14.0,8.0,96.0,0.0,10.0,118.0
18,Alpha,q025,5.900696507861532e-07,0.0,14.0,8.0,96.0,0.0,10.0,118.0
18,Alpha,q975,0.00035066423370154015,0.0,14.0,8.0,96.0,0.0,10.0,118.0
19,Alpha,mean,3.822425011380098e-05,0.0,40.0,9.0,200.0,0.0,2.0,249.0
19,Alpha,q025,2.574662549403615e-07,0.0,40.0,9.0,200.0,0.0,2.0,249.0
19,Alpha,q975,0.000228663679663315,0.0,40.0,9.0,200.0,0.0,2.0,249.0
