"date","year","week","lineage","n_seq_var","n_seq_tot","PointEst","Lower","Upper"
2021-03-26,"2021",34,"Gamma",4,111,0.036036036036036,0.0141013025092318,0.0890100558999521
2021-03-26,"2021",34,"Mu",55,111,0.495495495495495,0.404202909697088,0.587089433588438
2021-03-26,"2021",34,"Other",2,111,0.018018018018018,0.00495517870852808,0.06332555284276
2021-03-26,"2021",34,"Delta",50,111,0.45045045045045,0.361096086718385,0.543119689422402
2021-04-02,"2021",35,"Mu",12,19,0.631578947368421,0.410395331648031,0.808504872548649
2021-04-02,"2021",35,"Delta",7,19,0.368421052631579,0.191495127451351,0.589604668351969
2021-04-09,"2021",36,"Gamma",1,36,0.0277777777777778,0.00142481373298752,0.141697186532739
2021-04-09,"2021",36,"Mu",14,36,0.388888888888889,0.24784873065371,0.551355409033949
2021-04-09,"2021",36,"Delta",21,36,0.583333333333333,0.422002515748717,0.728594379485539
2021-04-16,"2021",37,"Gamma",2,67,0.0298507462686567,0.00822469483889797,0.10246555563352
2021-04-16,"2021",37,"Mu",16,67,0.238805970149254,0.152681390484929,0.353257637555303
2021-04-16,"2021",37,"Delta",49,67,0.73134328358209,0.614818910003343,0.822777950875308
2021-04-23,"2021",38,"Gamma",2,92,0.0217391304347826,0.00598204122885368,0.0758349398269584
2021-04-23,"2021",38,"Mu",23,92,0.25,0.172752553425286,0.347288141217525
2021-04-23,"2021",38,"Other",1,92,0.0108695652173913,0.000557535808560332,0.0590278561306252
2021-04-23,"2021",38,"Delta",66,92,0.717391304347826,0.618112710723678,0.799243206978225
2021-04-30,"2021",39,"Gamma",1,107,0.00934579439252336,0.00047937658306122,0.0510493562948034
2021-04-30,"2021",39,"Mu",19,107,0.177570093457944,0.116729507301533,0.260759739645137
2021-04-30,"2021",39,"Other",1,107,0.00934579439252336,0.00047937658306122,0.0510493562948034
2021-04-30,"2021",39,"Delta",86,107,0.803738317757009,0.718527251172988,0.867895921993193
2021-05-07,"2021",40,"Gamma",1,120,0.00833333333333333,0.000427444119896255,0.0456962912450497
2021-05-07,"2021",40,"Mu",21,120,0.175,0.117405359445665,0.252757098726493
2021-05-07,"2021",40,"Delta",98,120,0.816666666666667,0.737990864828297,0.875696996439858
2021-05-14,"2021",41,"Gamma",1,52,0.0192307692307692,0.000986409507452896,0.101205111278922
2021-05-14,"2021",41,"Mu",11,52,0.211538461538462,0.122443705324875,0.340321046285046
2021-05-14,"2021",41,"Other",1,52,0.0192307692307692,0.000986409507452896,0.101205111278922
2021-05-14,"2021",41,"Delta",39,52,0.75,0.617935420574027,0.847668461364042
2021-05-21,"2021",42,"Mu",4,39,0.102564102564103,0.0406133134466838,0.235788544628565
2021-05-21,"2021",42,"Other",2,39,0.0512820512820513,0.0141779554152741,0.168856400476136
2021-05-21,"2021",42,"Delta",33,39,0.846153846153846,0.702705363510733,0.927525276230179
2021-05-28,"2021",43,"Mu",3,31,0.0967741935483871,0.0334646441631974,0.248999384433928
2021-05-28,"2021",43,"Delta",28,31,0.903225806451613,0.751000615566072,0.966535355836803
2021-06-04,"2021",44,"Mu",2,75,0.0266666666666667,0.0073436890061314,0.0921148818775915
2021-06-04,"2021",44,"Other",1,75,0.0133333333333333,0.000683910591834008,0.0717336555442157
2021-06-04,"2021",44,"Delta",72,75,0.96,0.888870129175963,0.986303935739856
2021-06-11,"2021",45,"Mu",3,92,0.0326086956521739,0.0111511774109715,0.0915335995299357
2021-06-11,"2021",45,"Other",1,92,0.0108695652173913,0.000557535808560332,0.0590278561306252
2021-06-11,"2021",45,"Delta",88,92,0.956521739130435,0.893483143447011,0.982964283726986
2021-06-18,"2021",46,"Mu",2,76,0.0263157894736842,0.00724665907512833,0.0909662109865807
2021-06-18,"2021",46,"Delta",74,76,0.973684210526316,0.909033789013419,0.992753340924872
2021-06-25,"2021",47,"Mu",2,87,0.0229885057471264,0.00632708510592601,0.0799931801396141
2021-06-25,"2021",47,"Delta",85,87,0.977011494252874,0.920006819860386,0.993672914894074
2021-07-02,"2021",48,"Other",2,89,0.0224719101123595,0.0061843987021286,0.0782763467482249
2021-07-02,"2021",48,"Delta",87,89,0.97752808988764,0.921723653251775,0.993815601297871
2021-07-09,"2021",49,"Mu",1,52,0.0192307692307692,0.000986409507452896,0.101205111278922
2021-07-09,"2021",49,"Other",1,52,0.0192307692307692,0.000986409507452896,0.101205111278922
2021-07-09,"2021",49,"Delta",42,52,0.807692307692308,0.68101139186342,0.892039539752665
2021-07-09,"2021",49,"Omicron",8,52,0.153846153846154,0.0800768501678032,0.275240851764101
2021-07-16,"2021",50,"Mu",1,129,0.00775193798449612,0.000397622437112795,0.0426034401417602
2021-07-16,"2021",50,"Other",8,129,0.062015503875969,0.0317561556554095,0.117605790508368
2021-07-16,"2021",50,"Delta",84,129,0.651162790697674,0.565626629387646,0.72795641574167
2021-07-16,"2021",50,"Omicron",36,129,0.27906976744186,0.208916087907836,0.362000999980087
2021-07-23,"2021",51,"Other",10,101,0.099009900990099,0.0546730329670474,0.172731841868481
2021-07-23,"2021",51,"Delta",22,101,0.217821782178218,0.148476812689001,0.307845136269334
2021-07-23,"2021",51,"Omicron",69,101,0.683168316831683,0.587149085722759,0.765764736883234
2021-07-30,"2021",52,"Other",25,154,0.162337662337662,0.112443194252655,0.228667811835152
2021-07-30,"2021",52,"Delta",3,154,0.0194805194805195,0.0066469004432945,0.0557033774508923
2021-07-30,"2021",52,"Omicron",126,154,0.818181818181818,0.74977167840057,0.871104488939766
2021-08-06,"2022",1,"Other",31,254,0.122047244094488,0.0873283325770934,0.168028036882796
2021-08-06,"2022",1,"Delta",7,254,0.0275590551181102,0.0134124312501783,0.0557830305746839
2021-08-06,"2022",1,"Omicron",216,254,0.850393700787402,0.80132467236061,0.88902202678595
2021-08-13,"2022",2,"Other",12,117,0.102564102564103,0.0596496220277345,0.170746957858028
2021-08-13,"2022",2,"Delta",1,117,0.00854700854700855,0.00043840422553462,0.0468295032741894
2021-08-13,"2022",2,"Omicron",104,117,0.888888888888889,0.819146010555797,0.933906798373188
2021-08-20,"2022",3,"Other",22,94,0.234042553191489,0.15994219953345,0.329026989983329
2021-08-20,"2022",3,"Delta",2,94,0.0212765957446809,0.00585433623917275,0.0742902048910296
2021-08-20,"2022",3,"Omicron",70,94,0.74468085106383,0.648141801799259,0.822006543845304
2021-08-27,"2022",4,"Other",16,98,0.163265306122449,0.103068035218035,0.24886583568024
2021-08-27,"2022",4,"Omicron",82,98,0.836734693877551,0.75113416431976,0.896931964781965
2021-09-03,"2022",5,"Other",1,145,0.00689655172413793,0.000353746857845176,0.0380277310455945
2021-09-03,"2022",5,"Omicron",144,145,0.993103448275862,0.961972268954405,0.999646253142155
2021-09-10,"2022",6,"Omicron",49,49,1,0.927302180779504,1
2021-09-17,"2022",7,"Other",4,53,0.0754716981132075,0.0297395550869467,0.178584774836532
2021-09-17,"2022",7,"Omicron",49,53,0.924528301886792,0.821415225163468,0.970260444913053
2021-09-24,"2022",8,"Other",1,39,0.0256410256410256,0.00131521267660386,0.131809901698501
2021-09-24,"2022",8,"Omicron",38,39,0.974358974358974,0.868190098301499,0.998684787323396
2021-10-01,"2022",9,"Other",1,36,0.0277777777777778,0.00142481373298752,0.141697186532739
2021-10-01,"2022",9,"Omicron",35,36,0.972222222222222,0.858302813467261,0.998575186267012
2021-10-08,"2022",10,"Other",5,40,0.125,0.054595002509454,0.261121198388511
2021-10-08,"2022",10,"Omicron",35,40,0.875,0.738878801611489,0.945404997490546
2021-10-15,"2022",11,"Other",5,62,0.0806451612903226,0.0349383469859927,0.175285713486126
2021-10-15,"2022",11,"Omicron",57,62,0.919354838709677,0.824714286513874,0.965061653014007
2021-10-22,"2022",12,"Omicron",20,20,1,0.838874841947181,1
2021-10-29,"2022",13,"Other",4,98,0.0408163265306122,0.0159852491794764,0.100288211136353
2021-10-29,"2022",13,"Omicron",94,98,0.959183673469388,0.899711788863647,0.984014750820523
2021-11-05,"2022",14,"Other",11,101,0.108910891089109,0.0619112809345852,0.18457001674451
2021-11-05,"2022",14,"Omicron",90,101,0.891089108910891,0.81542998325549,0.938088719065415
2021-11-12,"2022",15,"Other",4,45,0.0888888888888889,0.0351111167263702,0.207335753342894
2021-11-12,"2022",15,"Omicron",41,45,0.911111111111111,0.792664246657106,0.96488888327363
2021-11-19,"2022",16,"Other",5,66,0.0757575757575758,0.0327920375629603,0.165391950206105
2021-11-19,"2022",16,"Omicron",61,66,0.924242424242424,0.834608049793895,0.96720796243704
2021-11-26,"2022",17,"Other",3,34,0.0882352941176471,0.0304659436746486,0.229604865628089
2021-11-26,"2022",17,"Omicron",31,34,0.911764705882353,0.770395134371911,0.969534056325352
2021-12-03,"2022",18,"Other",6,121,0.0495867768595041,0.0229216740713234,0.103970938129298
2021-12-03,"2022",18,"Omicron",115,121,0.950413223140496,0.896029061870703,0.977078325928677
2021-12-10,"2022",19,"Other",4,85,0.0470588235294118,0.0184502608330707,0.114837271563188
2021-12-10,"2022",19,"Omicron",81,85,0.952941176470588,0.885162728436812,0.981549739166929
2021-12-17,"2022",20,"Other",4,25,0.16,0.0640345145667644,0.346536216071789
2021-12-17,"2022",20,"Omicron",21,25,0.84,0.653463783928212,0.935965485433236
