t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),window_start,window_end
2,16,4.5907927206703,0.506968246036918,3.6511936891239847,3.7899235721586377,4.239444866719748,4.572144508117792,4.921817523646219,5.455276566816859,5.636351595356351,2020-02-28,2020-03-13
3,17,4.435643613271572,0.42880985333519805,3.6351169850554,3.754655590930833,4.139381453588575,4.421833087866815,4.7168538740824495,5.163742822140354,5.314645015073827,2020-02-29,2020-03-14
4,18,4.293876491928872,0.3628987986432443,3.6120877661392004,3.714899342850574,4.043853778766381,4.2836573151776856,4.532760885011279,4.907713432931636,5.033734699786131,2020-03-01,2020-03-15
5,19,4.291902129967351,0.3130191338487415,3.700296432900759,3.790333075437552,4.0768321852632985,4.284294777740084,4.498680136182652,4.819421240312673,4.9267368705931025,2020-03-02,2020-03-16
6,20,4.3417287685106185,0.2724242920137336,3.8241567513375765,3.9035568586072267,4.155008268503704,4.336032292961218,4.522239963539307,4.799332248567084,4.8916717736532265,2020-03-03,2020-03-17
7,21,4.033180292205345,0.22724396560296997,3.6000386152367994,3.6668166156948456,3.8776693706983747,4.028913180383094,4.184039868111694,4.414099697781665,4.4905706399736225,2020-03-04,2020-03-18
8,22,3.545907601958039,0.18459257650239763,3.1932986739273823,3.247840312963308,3.419717614784709,3.542704948311942,3.6686065129183634,3.854899574516588,3.9167163227937496,2020-03-05,2020-03-19
9,23,3.2638439008201896,0.15472103935808967,2.9676017497381593,3.013587900350125,3.158196448086645,3.2613993997652986,3.366826678008577,3.522438404078781,3.5739775551388577,2020-03-06,2020-03-20
10,24,3.0021146718212965,0.13127330897652303,2.7503029414708235,2.789501575389962,2.9125601966937835,3.000201495100163,3.089583635228832,3.221253845076261,3.2647985649511906,2020-03-07,2020-03-21
11,25,2.737700553286204,0.11204662465355177,2.522468363387444,2.556043914694806,2.6613162083703505,2.736172117419003,2.8124187746655918,2.924570864776399,2.9616185343163823,2020-03-08,2020-03-22
12,26,2.4485330714523315,0.09559915521934341,2.2647221022244475,2.293436862371275,2.383392225000063,2.44728901059767,2.512317782202365,2.6078729137997794,2.639413799753854,2020-03-09,2020-03-23
13,27,2.218562751083453,0.08291158278160254,2.059013449394709,2.0839694908121693,2.1620910352502927,2.2175299861674427,2.2739086589660955,2.3566788877736755,2.383981067066222,2020-03-10,2020-03-24
14,28,2.00477466089255,0.0725777157557393,1.8650297049070808,1.8869072645348226,1.9553560695687786,2.0038988990387763,2.0532385899828243,2.1256293773635058,2.1494964168772284,2020-03-11,2020-03-25
15,29,1.89366101724215,0.065611465489109,1.7672314285327362,1.787047535406143,1.8490034251826728,1.8929033036591287,1.93749262856247,2.002859142064305,2.0243965644697766,2020-03-12,2020-03-26
