wave,age_group,counts,percentage
1.0,0-9,8,0.11293054771315642
1.0,10-19,6,0.08469791078486731
1.0,20-29,63,0.8893280632411067
1.0,30-39,182,2.569169960474308
1.0,40-49,427,6.027667984189724
1.0,50-59,1011,14.271597967250141
1.0,60-69,1652,23.320158102766797
1.0,70-79,1793,25.31055900621118
1.0,80+,1942,27.41389045736872
2.0,0-9,4,0.06591957811470006
2.0,10-19,4,0.06591957811470006
2.0,20-29,33,0.5438365194462755
2.0,30-39,100,1.6479894528675016
2.0,40-49,252,4.152933421226104
2.0,50-59,691,11.387607119314437
2.0,60-69,1406,23.170731707317074
2.0,70-79,1755,28.922214897824652
2.0,80+,1823,30.042847725774553
3.0,0-9,16,0.12125805229253506
3.0,10-19,15,0.11367942402425162
3.0,20-29,143,1.083743842364532
3.0,30-39,573,4.342553997726411
3.0,40-49,1363,10.32967032967033
3.0,50-59,2547,19.302766199317922
3.0,60-69,3227,24.456233421750664
3.0,70-79,2758,20.90185676392573
3.0,80+,2553,19.348237968927624
4.0,0-9,6,0.3535651149086623
4.0,10-19,4,0.2357100766057749
4.0,20-29,10,0.5892751915144372
4.0,30-39,17,1.0017678255745432
4.0,40-49,34,2.0035356511490865
4.0,50-59,89,5.244549204478491
4.0,60-69,223,13.140836770771951
4.0,70-79,394,23.217442545668828
4.0,80+,920,54.21331761932823
