wave,age_group,counts,hosp,percentage,percentage_lower,percentage_upper
1.0,0-9,776,28610,2.712,2.706,2.718
1.0,10-19,383,28610,1.339,1.334,1.343
1.0,20-29,1381,28610,4.827,4.819,4.835
1.0,30-39,2718,28610,9.5,9.489,9.511
1.0,40-49,3688,28610,12.891,12.878,12.903
1.0,50-59,5848,28610,20.44,20.425,20.455
1.0,60-69,5970,28610,20.867,20.852,20.882
1.0,70-79,4446,28610,15.54,15.527,15.553
1.0,80+,3400,28610,11.884,11.872,11.896
2.0,0-9,507,24564,2.064,2.058,2.07
2.0,10-19,287,24564,1.168,1.164,1.173
2.0,20-29,960,24564,3.908,3.9,3.916
2.0,30-39,1839,24564,7.487,7.476,7.497
2.0,40-49,2665,24564,10.849,10.837,10.862
2.0,50-59,4702,24564,19.142,19.126,19.158
2.0,60-69,5505,24564,22.411,22.394,22.428
2.0,70-79,4583,24564,18.657,18.642,18.673
2.0,80+,3516,24564,14.314,14.3,14.328
3.0,0-9,877,42516,2.063,2.058,2.067
3.0,10-19,363,42516,0.854,0.851,0.857
3.0,20-29,1626,42516,3.824,3.819,3.83
3.0,30-39,4083,42516,9.603,9.594,9.612
3.0,40-49,6856,42516,16.126,16.115,16.137
3.0,50-59,9787,42516,23.02,23.007,23.032
3.0,60-69,8982,42516,21.126,21.114,21.139
3.0,70-79,5771,42516,13.574,13.563,13.584
3.0,80+,4171,42516,9.81,9.801,9.819
4.0,0-9,1389,8584,16.181,16.156,16.206
4.0,10-19,212,8584,2.47,2.459,2.48
4.0,20-29,338,8584,3.938,3.924,3.951
4.0,30-39,385,8584,4.485,4.471,4.499
4.0,40-49,438,8584,5.103,5.088,5.117
4.0,50-59,703,8584,8.19,8.171,8.208
4.0,60-69,1208,8584,14.073,14.049,14.096
4.0,70-79,1678,8584,19.548,19.521,19.575
4.0,80+,2233,8584,26.014,25.984,26.043
