wave,age_group,counts,icu,percentage,percentage_lower,percentage_upper
1.0,0-9,105,9339,1.124,1.117,1.131
1.0,10-19,70,9339,0.75,0.744,0.755
1.0,20-29,254,9339,2.72,2.709,2.73
1.0,30-39,685,9339,7.335,7.318,7.352
1.0,40-49,1146,9339,12.271,12.25,12.292
1.0,50-59,2000,9339,21.416,21.389,21.442
1.0,60-69,2411,9339,25.816,25.788,25.845
1.0,70-79,1790,9339,19.167,19.141,19.192
1.0,80+,878,9339,9.401,9.382,9.42
2.0,0-9,94,8476,1.109,1.102,1.116
2.0,10-19,56,8476,0.661,0.655,0.666
2.0,20-29,177,8476,2.088,2.079,2.098
2.0,30-39,424,8476,5.002,4.988,5.017
2.0,40-49,811,8476,9.568,9.548,9.588
2.0,50-59,1682,8476,19.844,19.817,19.871
2.0,60-69,2289,8476,27.006,26.975,27.036
2.0,70-79,2034,8476,23.997,23.968,24.026
2.0,80+,909,8476,10.724,10.703,10.745
3.0,0-9,135,15667,0.862,0.857,0.866
3.0,10-19,69,15667,0.44,0.437,0.444
3.0,20-29,390,15667,2.489,2.482,2.497
3.0,30-39,1295,15667,8.266,8.252,8.28
3.0,40-49,2693,15667,17.189,17.17,17.208
3.0,50-59,4084,15667,26.068,26.046,26.09
3.0,60-69,3871,15667,24.708,24.686,24.73
3.0,70-79,2249,15667,14.355,14.337,14.373
3.0,80+,881,15667,5.623,5.612,5.635
4.0,0-9,139,1361,10.213,10.162,10.265
4.0,10-19,18,1361,1.323,1.303,1.342
4.0,20-29,35,1361,2.572,2.545,2.599
4.0,30-39,41,1361,3.012,2.983,3.042
4.0,40-49,58,1361,4.262,4.227,4.296
4.0,50-59,130,1361,9.552,9.502,9.602
4.0,60-69,297,1361,21.822,21.752,21.892
4.0,70-79,330,1361,24.247,24.174,24.32
4.0,80+,313,1361,22.998,22.926,23.069
