wave,age_group,cases,hosp,icu,hosp_death,icu_death,deaths,CFR,CFR_lower,CFR_upper,HCR,HCR_lower,HCR_upper,ICU-CR,ICU-CR_lower,ICU-CR_upper,HFR,HFR_lower,HFR_upper,ICU-FR,ICU-FR_lower,ICU-FR_upper
1.0,all,270931,30162,10809,7220,3958.0,7296,0.0269,0.0263,0.0275,0.1113,0.1101,0.1125,0.0399,0.0392,0.0406,0.2394,0.2346,0.2442,0.3662,0.3571,0.3753
1.0,0-9,11489,815,143,8,6.0,8,0.0007,0.0002,0.0012,0.0709,0.0662,0.0756,0.0124,0.0104,0.0145,0.0098,0.003,0.0166,0.042,0.0091,0.0748
1.0,10-19,19202,430,151,6,3.0,6,0.0003,0.0001,0.0006,0.0224,0.0203,0.0245,0.0079,0.0066,0.0091,0.014,0.0029,0.025,0.0199,0.0,0.0421
1.0,20-29,59732,1596,539,66,44.0,66,0.0011,0.0008,0.0014,0.0267,0.0254,0.028,0.009,0.0083,0.0098,0.0414,0.0316,0.0511,0.0816,0.0585,0.1047
1.0,30-39,60465,2991,1022,190,120.0,190,0.0031,0.0027,0.0036,0.0495,0.0477,0.0512,0.0169,0.0159,0.0179,0.0635,0.0548,0.0723,0.1174,0.0977,0.1372
1.0,40-49,44209,3936,1395,439,297.0,442,0.01,0.0091,0.0109,0.089,0.0864,0.0917,0.0316,0.0299,0.0332,0.1115,0.1017,0.1214,0.2129,0.1914,0.2344
1.0,50-59,37521,6121,2218,1030,680.0,1038,0.0277,0.026,0.0293,0.1631,0.1594,0.1669,0.0591,0.0567,0.0615,0.1683,0.1589,0.1776,0.3066,0.2874,0.3258
1.0,60-69,21338,6190,2563,1691,1091.0,1708,0.08,0.0764,0.0837,0.2901,0.284,0.2962,0.1201,0.1158,0.1245,0.2732,0.2621,0.2843,0.4257,0.4065,0.4448
1.0,70-79,10610,4594,1871,1830,1106.0,1846,0.174,0.1668,0.1812,0.433,0.4236,0.4424,0.1763,0.1691,0.1836,0.3983,0.3842,0.4125,0.5911,0.5689,0.6134
1.0,80+,6365,3489,907,1960,611.0,1992,0.313,0.3016,0.3244,0.5482,0.5359,0.5604,0.1425,0.1339,0.1511,0.5618,0.5453,0.5782,0.6736,0.6431,0.7042
2.0,all,331060,24564,8476,5979,3517.0,6068,0.0183,0.0179,0.0188,0.0742,0.0733,0.0751,0.0256,0.0251,0.0261,0.2434,0.238,0.2488,0.4149,0.4044,0.4254
2.0,0-9,10584,507,94,4,2.0,4,0.0004,0.0,0.0007,0.0479,0.0438,0.052,0.0089,0.0071,0.0107,0.0079,0.0002,0.0156,0.0213,0.0,0.0504
2.0,10-19,23976,287,56,4,2.0,4,0.0002,0.0,0.0003,0.012,0.0106,0.0133,0.0023,0.0017,0.0029,0.0139,0.0004,0.0275,0.0357,0.0,0.0843
2.0,20-29,71877,960,177,33,24.0,33,0.0005,0.0003,0.0006,0.0134,0.0125,0.0142,0.0025,0.0021,0.0028,0.0344,0.0229,0.0459,0.1356,0.0852,0.186
2.0,30-39,73136,1839,424,96,62.0,100,0.0014,0.0011,0.0016,0.0251,0.024,0.0263,0.0058,0.0052,0.0063,0.0522,0.042,0.0624,0.1462,0.1126,0.1799
2.0,40-49,53781,2665,811,249,179.0,252,0.0047,0.0041,0.0053,0.0496,0.0477,0.0514,0.0151,0.014,0.0161,0.0934,0.0824,0.1045,0.2207,0.1922,0.2493
2.0,50-59,47462,4702,1682,675,494.0,691,0.0146,0.0135,0.0156,0.0991,0.0964,0.1018,0.0354,0.0338,0.0371,0.1436,0.1335,0.1536,0.2937,0.2719,0.3155
2.0,60-69,28904,5505,2289,1396,993.0,1406,0.0486,0.0462,0.0511,0.1905,0.1859,0.195,0.0792,0.0761,0.0823,0.2536,0.2421,0.2651,0.4338,0.4135,0.4541
2.0,70-79,13825,4583,2034,1731,1151.0,1755,0.1269,0.1214,0.1325,0.3315,0.3237,0.3393,0.1471,0.1412,0.153,0.3777,0.3637,0.3917,0.5659,0.5443,0.5874
2.0,80+,7515,3516,909,1791,610.0,1823,0.2426,0.2329,0.2523,0.4679,0.4566,0.4791,0.121,0.1136,0.1283,0.5094,0.4929,0.5259,0.6711,0.6405,0.7016
3.0,all,781860,42516,15667,13171,6955.0,13195,0.0169,0.0166,0.0172,0.0544,0.0539,0.0549,0.02,0.0197,0.0203,0.3098,0.3054,0.3142,0.4439,0.4361,0.4517
3.0,0-9,30674,877,135,15,9.0,16,0.0005,0.0003,0.0008,0.0286,0.0267,0.0305,0.0044,0.0037,0.0051,0.0171,0.0085,0.0257,0.0667,0.0246,0.1087
3.0,10-19,71115,363,69,15,7.0,15,0.0002,0.0001,0.0003,0.0051,0.0046,0.0056,0.001,0.0007,0.0012,0.0413,0.0208,0.0618,0.1014,0.0302,0.1727
3.0,20-29,174450,1626,390,143,76.0,143,0.0008,0.0007,0.001,0.0093,0.0089,0.0098,0.0022,0.002,0.0025,0.0879,0.0742,0.1017,0.1949,0.1556,0.2342
3.0,30-39,172751,4083,1295,573,345.0,573,0.0033,0.003,0.0036,0.0236,0.0229,0.0244,0.0075,0.0071,0.0079,0.1403,0.1297,0.151,0.2664,0.2423,0.2905
3.0,40-49,135599,6856,2693,1362,852.0,1363,0.0101,0.0095,0.0106,0.0506,0.0494,0.0517,0.0199,0.0191,0.0206,0.1987,0.1892,0.2081,0.3164,0.2988,0.3339
3.0,50-59,105941,9787,4084,2542,1633.0,2547,0.024,0.0231,0.025,0.0924,0.0906,0.0941,0.0385,0.0374,0.0397,0.2597,0.251,0.2684,0.3999,0.3848,0.4149
3.0,60-69,57513,8982,3871,3224,1974.0,3227,0.0561,0.0542,0.058,0.1562,0.1532,0.1591,0.0673,0.0653,0.0694,0.3589,0.349,0.3689,0.5099,0.4942,0.5257
3.0,70-79,23041,5771,2249,2751,1427.0,2758,0.1197,0.1155,0.1239,0.2505,0.2449,0.2561,0.0976,0.0938,0.1014,0.4767,0.4638,0.4896,0.6345,0.6146,0.6544
3.0,80+,10776,4171,881,2546,632.0,2553,0.2369,0.2289,0.2449,0.3871,0.3779,0.3963,0.0818,0.0766,0.0869,0.6104,0.5956,0.6252,0.7174,0.6876,0.7471
4.0,all,305481,8590,1362,1622,460.0,1715,0.0056,0.0053,0.0059,0.0281,0.0275,0.0287,0.0045,0.0042,0.0047,0.1888,0.1805,0.1971,0.3377,0.3126,0.3629
4.0,0-9,15653,1389,139,6,2.0,6,0.0004,0.0001,0.0007,0.0887,0.0843,0.0932,0.0089,0.0074,0.0103,0.0043,0.0009,0.0078,0.0144,0.0,0.0342
4.0,10-19,19593,212,18,4,,4,0.0002,0.0,0.0004,0.0108,0.0094,0.0123,0.0009,0.0005,0.0013,0.0189,0.0006,0.0372,0.0,0.0,0.0
4.0,20-29,61095,339,35,11,2.0,11,0.0002,0.0001,0.0003,0.0055,0.005,0.0061,0.0006,0.0004,0.0008,0.0324,0.0136,0.0513,0.0571,0.0,0.134
4.0,30-39,68241,385,41,17,6.0,17,0.0002,0.0001,0.0004,0.0056,0.0051,0.0062,0.0006,0.0004,0.0008,0.0442,0.0236,0.0647,0.1463,0.0382,0.2545
4.0,40-49,52054,439,58,35,9.0,36,0.0007,0.0005,0.0009,0.0084,0.0076,0.0092,0.0011,0.0008,0.0014,0.0797,0.0544,0.1051,0.1552,0.062,0.2484
4.0,50-59,36669,704,130,87,28.0,93,0.0025,0.002,0.0031,0.0192,0.0178,0.0206,0.0035,0.0029,0.0042,0.1236,0.0993,0.1479,0.2154,0.1447,0.2861
