wave,age_group,counts,percentage
1.0,0-9,100,1.0951702989814915
1.0,10-19,67,0.7337641003175994
1.0,20-29,241,2.639360420545395
1.0,30-39,672,7.359544409155624
1.0,40-49,1121,12.276859051582521
1.0,50-59,1963,21.49819296900668
1.0,60-69,2363,25.878874164932647
1.0,70-79,1752,19.187383638155733
1.0,80+,852,9.33085094732231
2.0,0-9,93,1.1183261183261184
2.0,10-19,55,0.6613756613756614
2.0,20-29,173,2.08032708032708
2.0,30-39,416,5.002405002405002
2.0,40-49,789,9.487734487734487
2.0,50-59,1647,19.805194805194805
2.0,60-69,2242,26.96007696007696
2.0,70-79,2010,24.17027417027417
2.0,80+,891,10.714285714285714
3.0,0-9,134,0.8548644338118022
3.0,10-19,69,0.44019138755980863
3.0,20-29,390,2.488038277511962
3.0,30-39,1295,8.261562998405104
3.0,40-49,2695,17.19298245614035
3.0,50-59,4084,26.05422647527911
3.0,60-69,3874,24.71451355661882
3.0,70-79,2251,14.360446570972886
3.0,80+,883,5.63317384370016
4.0,0-9,137,10.088365243004418
4.0,10-19,18,1.3254786450662739
4.0,20-29,35,2.577319587628866
4.0,30-39,41,3.0191458026509572
4.0,40-49,58,4.270986745213549
4.0,50-59,130,9.572901325478645
4.0,60-69,297,21.87039764359352
4.0,70-79,330,24.30044182621502
4.0,80+,312,22.97496318114875
