wave,age_group,counts,percentage
1.0,0-9,8,0.11560693641618497
1.0,10-19,6,0.08670520231213873
1.0,20-29,61,0.8815028901734104
1.0,30-39,175,2.5289017341040463
1.0,40-49,421,6.083815028901734
1.0,50-59,989,14.291907514450868
1.0,60-69,1611,23.28034682080925
1.0,70-79,1753,25.332369942196532
1.0,80+,1896,27.398843930635838
2.0,0-9,4,0.06700167504187604
2.0,10-19,4,0.06700167504187604
2.0,20-29,33,0.5527638190954773
2.0,30-39,96,1.6080402010050252
2.0,40-49,244,4.0871021775544385
2.0,50-59,679,11.373534338358459
2.0,60-69,1384,23.182579564489114
2.0,70-79,1729,28.96147403685092
2.0,80+,1797,30.100502512562816
3.0,0-9,16,0.12137763617053558
3.0,10-19,15,0.1137915339098771
3.0,20-29,143,1.0848126232741617
3.0,30-39,573,4.346836595357305
3.0,40-49,1365,10.355029585798816
3.0,50-59,2544,19.299044151115158
3.0,60-69,3225,24.465179790623576
3.0,70-79,2758,20.92247003489607
3.0,80+,2543,19.291458048854498
4.0,0-9,6,0.35377358490566035
4.0,10-19,4,0.2358490566037736
4.0,20-29,10,0.589622641509434
4.0,30-39,17,1.0023584905660377
4.0,40-49,34,2.0047169811320753
4.0,50-59,89,5.247641509433962
4.0,60-69,223,13.148584905660377
4.0,70-79,394,23.2311320754717
4.0,80+,919,54.18632075471698
