wave,age_group,counts,percentage
1.0,0-9,747,2.6916978956471604
1.0,10-19,372,1.340443931968867
1.0,20-29,1321,4.760017296050735
1.0,30-39,2616,9.426347650619775
1.0,40-49,3571,12.867541078120496
1.0,50-59,5669,20.427356586912655
1.0,60-69,5811,20.939031421158834
1.0,70-79,4337,15.627702507927356
1.0,80+,3308,11.91986163159412
2.0,0-9,494,2.0508988250923736
2.0,10-19,277,1.1499979241914726
2.0,20-29,946,3.927429733881347
2.0,30-39,1802,7.481213932826836
2.0,40-49,2607,10.82326566197534
2.0,50-59,4597,19.084983601112633
2.0,60-69,5402,22.427035330261138
2.0,70-79,4508,18.71548968323162
2.0,80+,3454,14.339685307427242
3.0,0-9,862,2.028808134061382
3.0,10-19,359,0.8449444549049143
3.0,20-29,1623,3.8199020900018827
3.0,30-39,4082,9.60741856524195
3.0,40-49,6857,16.13867444925626
3.0,50-59,9792,23.04650724910563
3.0,60-69,8980,21.135379401242705
3.0,70-79,5768,13.575597815853888
3.0,80+,4165,9.802767840331388
4.0,0-9,1381,16.11811391223156
4.0,10-19,211,2.46265172735761
4.0,20-29,338,3.9449112978524745
4.0,30-39,385,4.493464052287582
4.0,40-49,438,5.1120448179271705
4.0,50-59,702,8.193277310924369
4.0,60-69,1207,14.087301587301587
4.0,70-79,1677,19.57282913165266
4.0,80+,2229,26.015406162464988
