Wave,Age group,HCR,ICU-CR,CFR,HFR,ICU-FR,HOSP-%,ICU-%,DEATH-%
1,all,"0.107 (0.106, 0.108)","0.035 (0.034, 0.036)","0.027 (0.026, 0.027)","0.245 (0.24, 0.25)","0.414 (0.404, 0.424)",-,-,-
1,0-9,"0.069 (0.064, 0.073)","0.009 (0.008, 0.011)","0.001 (0.0, 0.001)","0.01 (0.003, 0.017)","0.057 (0.013, 0.102)","2.712 (2.706, 2.718)","1.124 (1.117, 1.131)","0.113 (0.11, 0.115)"
1,10-19,"0.02 (0.018, 0.022)","0.004 (0.003, 0.005)","0.0 (0.0, 0.001)","0.016 (0.003, 0.028)","0.043 (0.0, 0.09)","1.339 (1.334, 1.343)","0.75 (0.744, 0.755)","0.085 (0.083, 0.087)"
1,20-29,"0.024 (0.022, 0.025)","0.004 (0.004, 0.005)","0.001 (0.001, 0.001)","0.046 (0.035, 0.057)","0.165 (0.12, 0.211)","4.827 (4.819, 4.835)","2.72 (2.709, 2.73)","0.889 (0.882, 0.896)"
1,30-39,"0.046 (0.044, 0.047)","0.012 (0.011, 0.012)","0.003 (0.003, 0.004)","0.067 (0.058, 0.076)","0.166 (0.138, 0.194)","9.5 (9.489, 9.511)","7.335 (7.318, 7.352)","2.569 (2.557, 2.581)"
1,40-49,"0.085 (0.082, 0.088)","0.026 (0.025, 0.028)","0.01 (0.009, 0.011)","0.115 (0.105, 0.125)","0.255 (0.23, 0.28)","12.891 (12.878, 12.903)","12.271 (12.25, 12.292)","6.028 (6.01, 6.045)"
1,50-59,"0.158 (0.155, 0.162)","0.054 (0.052, 0.056)","0.027 (0.026, 0.029)","0.172 (0.162, 0.181)","0.33 (0.309, 0.35)","20.44 (20.425, 20.455)","21.416 (21.389, 21.442)","14.272 (14.246, 14.298)"
1,60-69,"0.285 (0.279, 0.292)","0.115 (0.111, 0.12)","0.079 (0.075, 0.083)","0.274 (0.263, 0.285)","0.443 (0.423, 0.462)","20.867 (20.852, 20.882)","25.816 (25.788, 25.845)","23.32 (23.289, 23.352)"
1,70-79,"0.429 (0.419, 0.438)","0.172 (0.165, 0.18)","0.173 (0.166, 0.18)","0.4 (0.385, 0.414)","0.605 (0.582, 0.628)","15.54 (15.527, 15.553)","19.167 (19.141, 19.192)","25.311 (25.278, 25.343)"
1,80+,"0.544 (0.532, 0.557)","0.141 (0.132, 0.149)","0.311 (0.3, 0.322)","0.562 (0.545, 0.578)","0.684 (0.654, 0.715)","11.884 (11.872, 11.896)","9.401 (9.382, 9.42)","27.414 (27.381, 27.447)"
2,all,"0.074 (0.073, 0.075)","0.026 (0.025, 0.026)","0.018 (0.018, 0.019)","0.243 (0.238, 0.249)","0.415 (0.404, 0.425)",-,-,-
2,0-9,"0.048 (0.044, 0.052)","0.009 (0.007, 0.011)","0.0 (0.0, 0.001)","0.008 (0.0, 0.016)","0.021 (0.0, 0.05)","2.064 (2.058, 2.07)","1.109 (1.102, 1.116)","0.066 (0.064, 0.068)"
2,10-19,"0.012 (0.011, 0.013)","0.002 (0.002, 0.003)","0.0 (0.0, 0.0)","0.014 (0.0, 0.028)","0.036 (0.0, 0.084)","1.168 (1.164, 1.173)","0.661 (0.655, 0.666)","0.066 (0.064, 0.068)"
2,20-29,"0.013 (0.012, 0.014)","0.002 (0.002, 0.003)","0.0 (0.0, 0.001)","0.034 (0.023, 0.046)","0.136 (0.085, 0.186)","3.908 (3.9, 3.916)","2.088 (2.079, 2.098)","0.544 (0.538, 0.55)"
2,30-39,"0.025 (0.024, 0.026)","0.006 (0.005, 0.006)","0.001 (0.001, 0.002)","0.052 (0.042, 0.062)","0.146 (0.113, 0.18)","7.487 (7.476, 7.497)","5.002 (4.988, 5.017)","1.648 (1.638, 1.658)"
2,40-49,"0.05 (0.048, 0.051)","0.015 (0.014, 0.016)","0.005 (0.004, 0.005)","0.093 (0.082, 0.104)","0.221 (0.192, 0.249)","10.849 (10.837, 10.862)","9.568 (9.548, 9.588)","4.153 (4.137, 4.169)"
2,50-59,"0.099 (0.096, 0.102)","0.035 (0.034, 0.037)","0.015 (0.014, 0.016)","0.144 (0.134, 0.154)","0.294 (0.272, 0.316)","19.142 (19.126, 19.158)","19.844 (19.817, 19.871)","11.388 (11.362, 11.413)"
2,60-69,"0.19 (0.186, 0.195)","0.079 (0.076, 0.082)","0.049 (0.046, 0.051)","0.254 (0.242, 0.265)","0.434 (0.414, 0.454)","22.411 (22.394, 22.428)","27.006 (26.975, 27.036)","23.171 (23.137, 23.205)"
2,70-79,"0.332 (0.324, 0.339)","0.147 (0.141, 0.153)","0.127 (0.121, 0.132)","0.378 (0.364, 0.392)","0.566 (0.544, 0.587)","18.657 (18.642, 18.673)","23.997 (23.968, 24.026)","28.922 (28.886, 28.959)"
2,80+,"0.468 (0.457, 0.479)","0.121 (0.114, 0.128)","0.243 (0.233, 0.252)","0.509 (0.493, 0.526)","0.671 (0.64, 0.702)","14.314 (14.3, 14.328)","10.724 (10.703, 10.745)","30.043 (30.006, 30.08)"
3,all,"0.054 (0.054, 0.055)","0.02 (0.02, 0.02)","0.017 (0.017, 0.017)","0.31 (0.305, 0.314)","0.444 (0.436, 0.452)",-,-,-
3,0-9,"0.029 (0.027, 0.03)","0.004 (0.004, 0.005)","0.0 (0.0, 0.001)","0.017 (0.008, 0.026)","0.067 (0.025, 0.109)","2.063 (2.058, 2.067)","0.862 (0.857, 0.866)","0.121 (0.119, 0.123)"
3,10-19,"0.005 (0.005, 0.006)","0.001 (0.001, 0.001)","0.0 (0.0, 0.0)","0.041 (0.021, 0.062)","0.101 (0.03, 0.173)","0.854 (0.851, 0.857)","0.44 (0.437, 0.444)","0.114 (0.112, 0.116)"
3,20-29,"0.009 (0.009, 0.01)","0.002 (0.002, 0.002)","0.001 (0.001, 0.001)","0.088 (0.074, 0.102)","0.195 (0.156, 0.234)","3.824 (3.819, 3.83)","2.489 (2.482, 2.497)","1.084 (1.078, 1.089)"
3,30-39,"0.024 (0.023, 0.024)","0.008 (0.007, 0.008)","0.003 (0.003, 0.004)","0.14 (0.13, 0.151)","0.266 (0.242, 0.29)","9.603 (9.594, 9.612)","8.266 (8.252, 8.28)","4.343 (4.331, 4.354)"
3,40-49,"0.051 (0.049, 0.052)","0.02 (0.019, 0.021)","0.01 (0.01, 0.011)","0.199 (0.189, 0.208)","0.316 (0.299, 0.334)","16.126 (16.115, 16.137)","17.189 (17.17, 17.208)","10.33 (10.313, 10.346)"
3,50-59,"0.092 (0.091, 0.094)","0.038 (0.037, 0.04)","0.024 (0.023, 0.025)","0.26 (0.251, 0.268)","0.4 (0.385, 0.415)","23.02 (23.007, 23.032)","26.068 (26.046, 26.09)","19.303 (19.281, 19.324)"
3,60-69,"0.156 (0.153, 0.159)","0.067 (0.065, 0.069)","0.056 (0.054, 0.058)","0.359 (0.349, 0.369)","0.51 (0.494, 0.526)","21.126 (21.114, 21.139)","24.708 (24.686, 24.73)","24.456 (24.433, 24.48)"
